"","name","coefficient"
"53","CX3CL1",-3.90205585044038
"12","BMP7",-3.05929934076602
"133","KLRK1",-3.01703672555198
"4","AGRP",-2.94828060408853
"176","SDC1",-2.69561557376352
"23","CCL21",-2.65754013542209
"109","IL1RL1",-2.54965238355402
"117","IL33",-2.47505147289882
"24","CCL22",-2.24313447835859
"204","TNFRSF8",-2.12188784254642
"187","TAFA5",-2.049660438061
"36","CD63",-2.03451127265603
"108","IL1R2",-2.03395195467903
"192","THPO",-1.95405356177077
"91","IL10RB",-1.83058614724516
"159","NPTXR",-1.82651960300964
"141","MAPT",-1.74970017264669
"216","VSNL1",-1.50554271162222
"123","IL4R",-1.49824878962933
"9","BACE1",-1.43732374264891
"206","TNFSF11",-1.43439065204522
"25","CCL25",-1.41327745264744
"69","FGF23",-1.36986802404986
"151","MUC16",-1.27119780625905
"72","FOLR1",-1.27106287341921
"13","BST2",-1.25672502787714
"127","IL6R",-1.25252822866782
"110","IL1RN",-1.22880086916808
"34","CD274",-1.20412425561793
"128","IL7R",-1.19862513875942
"6","APOE",-1.19189546800625
"102","IL17RA",-1.10074576936752
"95","IL15",-1.08123208152129
"2","AGER",-1.07018924569481
"202","TNFRSF1B",-1.04139125619121
"219","YWHAZ",-1.03401572772191
"50","CST7",-0.988052609882841
"132","KLK6",-0.981709676379175
"87","IFNG",-0.932531620212171
"122","IL4",-0.91996091047615
"149","MPO",-0.8811716703705
"162","PDCD1",-0.877180408810633
"19","CCL16",-0.876032346330123
"64","FASLG",-0.835027651350064
"47","CSF2RB",-0.822651657434895
"59","CXCL13",-0.818661997798272
"26","CCL26",-0.808225626239122
"104","IL18BP",-0.752122499173401
"65","FCN2",-0.734105126332916
"170","REST",-0.732990464302337
"165","PDLIM5",-0.713107635081448
"177","SELE",-0.669719560372045
"183","SNCA",-0.655410360463505
"11","BDNF",-0.646100962936069
"61","CXCL6",-0.599388910135965
"142","MDH1",-0.590251428671879
"54","CXADR",-0.579538310855848
"172","S100A9",-0.57254266893031
"99","IL17B",-0.553328703537696
"199","TNFRSF13C",-0.520608923301914
"191","THBS2",-0.508040086556686
"156","NGF",-0.504108688675278
"126","IL6",-0.502094065281758
"31","CCL8",-0.500070372801735
"78","GDNF",-0.489276252867138
"105","IL18R1",-0.47725225177652
"186","SQSTM1",-0.459971768708872
"55","CXCL1",-0.459288102912749
"185","SPP1",-0.450210647597617
"188","TEK",-0.417271358102981
"166","PGF",-0.41705778853292
"116","IL32",-0.396010633421573
"5","ANXA5",-0.379586228333091
"85","IFNA1; IFNA13",-0.35818105983237
"48","CSF3",-0.35770672883972
"35","CD3E",-0.329149351996827
"20","CCL19",-0.326179946743961
"114","IL24",-0.323568104341293
"39","CD83",-0.319714738359374
"80","GOT1",-0.299573991519271
"22","CCL20",-0.294416694465959
"119","IL36B",-0.258051010079656
"33","CD27",-0.25158972580651
"194","TIMP2",-0.226673690900331
"98","IL17A",-0.211180999922505
"38","CD80",-0.201228769824854
"112","IL22",-0.178505851380206
"82","GZMB",-0.167306167606551
"45","CRP",-0.165200996055578
"210","TNFSF18",-0.156342713883558
"100","IL17C",-0.150040207773781
"60","CXCL2",-0.136800199646991
"217","VSTM1",-0.135777126916065
"163","PDGFA",-0.129839228926507
"164","PDGFRB",-0.122561691366083
"74","FURIN",-0.121045769884188
"51","CTF1",-0.10320031773023
"75","GDF15",-0.0887620464162197
"143","MICA",-0.0865498062791126
"57","CXCL11",-0.0831706853451067
"171","S100A12",-0.0800943196446169
"169","PTX3",-0.0768448079666628
"113","IL23",-0.0307542709807963
"101","IL17F",-0.0278282237165732
"139","LTA",-0.0171811627986905
"178","SFTPD",-0.0147275840083013
"7","APOE4",-0.0127488684673791
"3","AGRN",-0.0126046592535995
"205","TNFSF10",-0.00644075725457673
"214","UCHL1",0.0216476629881086
"218","WNT16",0.0258228774563408
"30","CCL5",0.0274988345421295
"86","IFNB1",0.0314828304734316
"43","CNTF",0.0340992277774564
"182","SNAP25",0.0386226794991076
"152","NAMPT",0.0476800171074225
"88","IFNL1",0.0519085864139516
"120","IL36G",0.0525538479019296
"147","MMP8",0.0606076998830788
"174","SAA1",0.073582501287077
"16","CCL1",0.0775028267436945
"189","TGFB1",0.0793258880592281
"92","IL12B",0.0821683898919084
"94","IL12p70",0.0909213252411921
"190","TGFB3",0.0929594347532546
"15","CALCA",0.0944672609498803
"21","CCL2",0.0946687693319172
"46","CSF2",0.11181439266312
"10","BASP1",0.131101901134684
"106","IL1B",0.133424010387369
"67","FGF2",0.15731876200896
"42","CHIT1",0.162231838154909
"175","SCG2",0.16736230867845
"179","SIRPA",0.169048634104981
