"","name","coefficient"
"1","(Intercept)",-9.20440447591794
"7","BMP7",-3.09896785279232
"4","AGRP",-3.06736626054389
"86","NPTXR",-2.94670286964047
"74","KLRK1",-2.80320193092616
"19","CD63",-2.29147141285503
"29","CX3CL1",-2.19947705635604
"91","SDC1",-2.14381360556607
"67","IL4R",-1.58386886988696
"109","VSNL1",-1.40597819299249
"101","TNFSF11",-1.36376574262975
"89","REST",-1.31438697721386
"38","FGF23",-1.19608058704682
"15","CCL22",-1.11968916906791
"81","MUC16",-1.11341402570211
"3","AGER",-1.10582365713098
"100","TNFRSF8",-1.05604502133817
"58","IL1R2",-0.962840977612426
"12","CCL19",-0.86078043608976
"25","CSF2RB",-0.860603801931289
"92","SELE",-0.845768562367844
"98","THPO",-0.8144093239453
"28","CST7",-0.781584833247092
"59","IL1RL1",-0.768458150659091
"16","CCL25",-0.739160083908342
"90","S100A9",-0.666405252169845
"33","FASLG",-0.657775843720124
"8","BST2",-0.635292637461287
"70","IL7R",-0.571328843940711
"52","IL15",-0.484594364085765
"88","PDLIM5",-0.407876676303018
"31","CXCL6",-0.372458150294389
"65","IL33",-0.361025188961185
"5","APOE",-0.356515375587994
"96","TEK",-0.351955528064603
"42","GDNF",-0.3490013726684
"60","IL1RN",-0.32770364964257
"14","CCL21",-0.314938349982408
"94","SQSTM1",-0.252283728002378
"17","CCL26",-0.248139994652535
"47","IFNG",-0.243375383292071
"63","IL24",-0.243025214558167
"62","IL22",-0.233688878492415
"34","FCN2",-0.220467603927512
"26","CSF3",-0.184699270948572
"75","KNG1",-0.177783340522601
"95","TAFA5",-0.175175401762284
"44","GOT1",-0.125418955372588
"13","CCL20",-0.114721849922028
"64","IL32",-0.104967623828277
"6","APOE4",-0.0707407084189476
"111","YWHAZ",-0.0535670410066433
"24","CRP",-0.0173266702218172
"55","IL17A",-0.00772212029620489
"51","IL13",0.010326964752354
"22","CHIT1",0.0118641666883307
"39","FLT3LG",0.0486870520606119
"84","NPTX1",0.0506930709815292
"41","GDI1",0.0797277509804211
"50","IL12p70",0.0845732631453603
"48","IKBKG",0.112064320057181
"72","IRAK4",0.125966700987427
"68","IL5",0.146290971824823
"97","TGFB1",0.197503527964427
"107","UCHL1",0.218607142511906
"80","MSLN",0.219117865587464
"45","HBA1",0.231703874213851
"20","CEACAM5",0.235046170267844
"36","FGF2",0.242269738178051
"46","HLA-DRA",0.243470004931619
"35","FGF19",0.298217607044276
"82","NEFH",0.310016505760192
"18","CCL27",0.329237037553171
"40","FTH1",0.359091032995897
"71","IL9",0.368547331941929
"2","ACHE",0.374340990334042
"104","TNFSF9",0.37591511859903
"103","TNFSF4",0.444385853214143
"79","MMP3",0.454475936889975
"54","IL16",0.500500515954513
"105","TREM1",0.509656897621218
"56","IL18",0.542576107040296
"93","SMOC1",0.56102885566815
"32","CXCL9",0.567766266051297
"87","OSMR",0.59844016636263
"66","IL3RA",0.599566578374134
"76","LAG3",0.611369981099946
"73","KDR",0.625302769275582
"11","CCL13",0.64141788545336
"37","FGF21",0.654827962523016
"112","pTau-181",0.669436843935151
"9","C1QA",0.770084948154361
"110","WNT16",0.786144039413112
"61","IL2",0.939609237606035
"57","IL1R1",0.975358476134557
"85","NPTX2",0.979889414388198
"83","NEFL",1.09305322898533
"49","IL12RB1",1.09775802071088
"78","MMP12",1.31852462850971
"30","CXCL10",1.32876170504687
"69","IL5RA",1.41409579559864
"53","IL15RA",1.44016242690988
"21","CHI3L1",1.47419665554689
"23","CNTN2",1.49420729360229
"43","GFAP",1.57790752948103
"77","LAMP3",1.82888144995779
"99","TNFRSF13B",1.90496729766543
"102","TNFSF15",2.59521339514977
"10","CCL11",2.89025764776539
"108","VEGFD",3.06473771028621
"27","CST3",3.20993663571631
"106","TREM2",4.27744409635653
