"","Feature","Gain","Cover","Frequency"
"31","MERTK",0.00328219054417504,0.00901223138641082,0.00660377358490566
"32","IL7",0.00322924374728887,0.00123436009650452,0.00377358490566038
"33","IL16",0.00301162629945186,0.0039695898558043,0.00471698113207547
"34","IL1R2",0.00299113190465126,0.0228426751949728,0.0122641509433962
"35","IL4R",0.00292618940685557,0.0218537844358413,0.0150943396226415
"36","GDI1",0.00289633018363918,0.0104289401335353,0.0132075471698113
"37","FASLG",0.00289030581332807,0.00408180441003198,0.00566037735849057
"38","VEGFD",0.00266455027604102,0.00395556303652584,0.00377358490566038
"39","IL17RB",0.00237577533076101,0.00112915895191606,0.00283018867924528
"40","IL5",0.00236505991652147,0.00759552263928632,0.00566037735849057
"41","SELE",0.0023588719287706,0.0037381473377097,0.00660377358490566
"42","C1QA",0.00229410869471682,0.000294563204847669,0.000943396226415094
"43","THPO",0.00224113961491799,0.0185083880379285,0.010377358490566
"44","CCL25",0.00219260444536055,0.0114178308926668,0.00754716981132075
"45","ANGPT2",0.00214498520985636,0.0104640071817315,0.00849056603773585
"46","UCHL1",0.00198227516400403,0.00624894798855412,0.00660377358490566
"47","CD3E",0.0019332945259744,0.00621388094035796,0.00849056603773585
"48","PDLIM5",0.00191190447751597,0.00904028502496774,0.00943396226415094
"49","PGF",0.00190362458235831,0.00124137350614375,0.00283018867924528
"50","BACE1",0.0018815322491331,0.00592633114514953,0.00566037735849057
"51","CCL13",0.00179932259388614,0.00377321438590585,0.00377358490566038
"52","NPTX1",0.00175901930160923,0.00275626998821747,0.00660377358490566
"53","OSM",0.00169689776247701,0.00121331986758683,0.00188679245283019
"54","HAVCR1",0.00163785899232569,0.00586321045839645,0.00471698113207547
"55","WNT7A",0.00149685108168441,0.00794619312124782,0.00849056603773585
"56","IL5RA",0.0014674196175872,0.00690119508500252,0.00660377358490566
"57","SNAP25",0.00144946599018379,0.00242663973517365,0.00377358490566038
"58","CST3",0.0014008283077758,0.000617180048252258,0.000943396226415094
"59","IL34",0.00136361321287215,0.000981877349492229,0.000943396226415094
"60","NGF",0.00134004008684606,0.00345059754250126,0.00377358490566038
"61","CD274",0.00131627244833449,0.000364697301239971,0.000943396226415094
"62","GOT1",0.00130263640520654,0.00271418953038209,0.00283018867924528
"63","FLT3LG",0.00130135163659535,0.00506368175952421,0.00660377358490566
"64","SFRP1",0.00128753753467153,0.00161308421702295,0.00377358490566038
"65","PTX3",0.00125910793617709,0.00153593671099142,0.00188679245283019
"66","MUC16",0.00124345388409184,0.020654491387533,0.0122641509433962
"67","WNT16",0.00123343906785822,0.00140268192784604,0.00188679245283019
"68","S100B",0.0011975740622391,0.00804438085619705,0.00660377358490566
"69","TNFSF12",0.00118997659437007,0.00406076418111429,0.00471698113207547
"70","CD200R1",0.00116942445459562,0.0014167087471245,0.00377358490566038
"71","NEFH",0.00111456286346537,0.0015780171688268,0.00283018867924528
"72","IL1RN",0.0010806404959149,0.00245469337373057,0.00377358490566038
"73","POSTN",0.00101874796197357,0.00223026426527521,0.00471698113207547
"74","MME",0.000978909603814583,0.00892807047074005,0.00566037735849057
"75","CTSS",0.000971746285450693,0.00480418560287269,0.00660377358490566
"76","CXCL13",0.000915378963308283,0.0014167087471245,0.000943396226415094
"77","TGFB3",0.000887224879449747,0.000315603433765359,0.000943396226415094
