"","name","coefficient"
"5","AGRP",-2.25043747937074
"195","KLRK1",-2.14479206032482
"82","CX3CL1",-2.10353843658378
"20","BMP7",-2.07509723025283
"182","IL4R",-2.04818694078071
"159","IL18R1",-1.96182131483619
"17","BACE1",-1.54836863583265
"255","SDC1",-1.49958698709402
"227","NPTXR",-1.3992455913776
"35","CCL21",-1.37272955084748
"276","THPO",-1.34189355482878
"58","CD63",-1.34047967436928
"314","VSNL1",-1.31347579877992
"194","KLK6",-1.21375349127069
"189","IL7R",-1.19929827507975
"21","BST2",-1.08471855585095
"275","THBS2",-1.02989276618037
"36","CCL22",-1.0094191706818
"10","APOE",-0.978838287142316
"296","TNFSF11",-0.96728860976093
"152","IL17B",-0.954796397742537
"4","AGRN",-0.93011325163002
"164","IL1RL1",-0.927971334439699
"140","IL10RB",-0.925571533260442
"51","CD274",-0.886996935326802
"136","IGF1R",-0.880407230697461
"102","FCN2",-0.879534689668649
"219","MUC16",-0.8649102449657
"66","CLEC4A",-0.848168586555381
"3","AGER",-0.840437723700118
"39","CCL25",-0.8339985248053
"272","TEK",-0.823624815669182
"61","CD83",-0.778429586121451
"196","KNG1",-0.770514405584303
"78","CST7",-0.767444081972104
"155","IL17RA",-0.767083373389224
"295","TNFSF10",-0.751976604911497
"175","IL33",-0.734291825106842
"293","TNFRSF8",-0.7336569372063
"224","NGF",-0.711996658921433
"147","IL15",-0.709201149303742
"40","CCL26",-0.704010859653735
"83","CXADR",-0.663159750330919
"285","TNFRSF13C",-0.636337229956481
"106","FGF23",-0.627450625516916
"34","CCL20",-0.619887487941939
"120","GZMA",-0.612839050667542
"74","CSF2RB",-0.609908137733764
"270","TAFA5",-0.584525902226047
"256","SELE",-0.569779385450698
"118","GOT1",-0.559198947668662
"251","S100A9",-0.554716780854414
"318","YWHAZ",-0.542502631993091
"69","CRH",-0.541659408825626
"261","SLAMF1",-0.498380057582155
"75","CSF3",-0.482603804661175
"240","PDLIM5",-0.474344672359549
"209","MICB",-0.465799895702831
"72","CSF1R",-0.463645177569709
"205","MAPT",-0.459523970432872
"94","CXCL6",-0.45615222919262
"88","CXCL13",-0.440785942795245
"235","PDCD1",-0.433533904543076
"101","FASLG",-0.429282460516459
"62","CD93",-0.425351946027199
"71","CSF1",-0.422546895879025
"203","LTA",-0.416715211293973
"248","REST",-0.403463246378459
"53","CD3E",-0.352048823759249
"116","GDNF",-0.348282898574074
"133","IFNL1",-0.345001623677539
"288","TNFRSF18",-0.337009903736238
"49","CD200R1",-0.326983739169502
"294","TNFRSF9",-0.326854188099656
"163","IL1R2",-0.324091393491999
"170","IL24",-0.317661444442227
"70","CRP",-0.309826442905512
"8","ANXA1",-0.306006724283034
"153","IL17C",-0.302730392774453
"250","S100A12",-0.299476572988276
"54","CD4",-0.298818253536714
"32","CCL19",-0.29147105099848
"286","TNFRSF14",-0.291389744177107
"269","SQSTM1",-0.281016034197929
"267","SOD1",-0.280761944486581
"95","CXCL8",-0.277399642767346
"132","IFNG",-0.270593124284977
"217","MPO",-0.268883337902343
"168","IL22",-0.262654387811652
"171","IL27",-0.26122001477246
"47","CCL8",-0.255880408551223
"129","IFNA1; IFNA13",-0.253273071111284
"12","AREG",-0.25042295405498
"165","IL1RN",-0.248773743791921
"231","OSM",-0.238254474153618
"185","IL6",-0.236588050209191
"237","PDGFA",-0.235917317885581
"186","IL6R",-0.235621791556491
"201","LIF",-0.235379121085769
"206","MDH1",-0.226013573264644
"230","NTF3",-0.22341586766762
"290","TNFRSF1B",-0.215674133098157
"84","CXCL1",-0.214402803566676
"158","IL18BP",-0.206146016255658
"181","IL4",-0.205580495512901
"308","UCHL1",-0.201114663709874
"14","Aβ38",-0.200440153539693
"139","IL10",-0.198617918630917
"30","CCL16",-0.197313734569607
"161","IL1B",-0.193905959496447
"156","IL17RB",-0.193191291655127
"19","BDNF",-0.191255132709401
"246","PTN",-0.181310091981868
"150","IL17A",-0.175191987885924
"45","CCL5",-0.174355477259602
"127","ICAM1",-0.174159724605575
"89","CXCL14",-0.173986591447315
"315","VSTM1",-0.173489427307564
"238","PDGFB",-0.170337762175223
"31","CCL17",-0.165359958190357
"323","pTau-231",-0.162560249172353
"131","IFNB1",-0.162403465051595
"128","ICOSLG",-0.161243118314547
"90","CXCL16",-0.150134680330675
"9","ANXA5",-0.149238383527138
"268","SPP1",-0.145852045104384
"7","ANGPT2",-0.144934005220824
"311","VEGFC",-0.142982134882891
"99","EPO",-0.138591915427523
"110","FOLR1",-0.132644228611506
"239","PDGFRB",-0.12978618661295
"130","IFNA2",-0.125393375246154
"121","GZMB",-0.111940173366945
"56","CD40LG",-0.107041697411191
"262","SLIT2",-0.103388616741322
"280","TLR3",-0.0890610261441006
"86","CXCL11",-0.0796093862738923
"228","NPY",-0.0707072496583918
"207","MERTK",-0.0703106977832346
"52","CD276",-0.0671229099271225
"274","TGFB3",-0.0642505257085845
"91","CXCL2",-0.0636116868735674
"11","APOE4",-0.0634184509154815
"179","IL36G",-0.0544932149961809
"178","IL36B",-0.0517047476394054
"98","ENO2",-0.0512797176949304
"24","CALCA",-0.0505588194397109
"79","CTF1",-0.041989285891444
"80","CTLA4",-0.0413602704885964
"15","Aβ40",-0.0408686246159988
"87","CXCL12",-0.037032201572998
"97","EGF",-0.0340729682457156
"160","IL19",-0.0313013653854669
"208","MICA",-0.0269942422652808
"124","HGF",-0.025779243251488
"244","PRDX6",-0.0200476734721168
"48","CD200",-0.0163832090326244
"204","LTA|LTB",-0.0134065119308442
"177","IL36A",-0.0123785852572291
"245","PSEN1",-0.00371527763473832
"46","CCL7",-0.00136128083768209
"247","PTX3",0.00384029552646297
"151","IL17A|IL17F",0.00692659454953954
"233","Oligo-SNCA",0.0122590680205403
"81","CTSS",0.0239821677090172
"67","CNTF",0.0279723573116201
"258","SFRP1",0.0281711678383286
"174","IL32",0.0308660467026851
"126","HTT",0.0327229013309315
"319","pSNCA-129",0.0328816150021842
"310","VEGFA",0.0351301702862296
"154","IL17F",0.0351721732302588
"254","SCG2",0.0368558028835143
"216","MMP9",0.0377503291691161
"38","CCL24",0.0389818112568295
"141","IL11",0.043026165767951
