"","name","coefficient"
"1","(Intercept)",-30.1530758819212
"5","AGRP",-2.45516856921512
"82","CX3CL1",-2.37397329125212
"276","THPO",-2.36771067251666
"195","KLRK1",-2.15593925843254
"20","BMP7",-2.01473443330875
"182","IL4R",-1.59008565388563
"35","CCL21",-1.57095570090142
"17","BACE1",-1.57071271551187
"227","NPTXR",-1.5684255507571
"314","VSNL1",-1.54664912506985
"255","SDC1",-1.52970065245996
"159","IL18R1",-1.43117171131614
"295","TNFSF10",-1.39852873214925
"58","CD63",-1.36472222913672
"189","IL7R",-1.3147046134665
"224","NGF",-1.29959193092761
"3","AGER",-1.15943678232192
"275","THBS2",-1.1107330849186
"272","TEK",-1.08817351328948
"205","MAPT",-1.01550121563279
"155","IL17RA",-1.01227946498215
"194","KLK6",-0.99516964776513
"140","IL10RB",-0.982915898176533
"219","MUC16",-0.979511437766791
"36","CCL22",-0.961923390716802
"270","TAFA5",-0.960381577155674
"296","TNFSF11",-0.86547911511377
"163","IL1R2",-0.861542671814574
"78","CST7",-0.85479315103013
"175","IL33",-0.851518200165442
"164","IL1RL1",-0.833618391924641
"106","FGF23",-0.80422999152058
"39","CCL25",-0.795285531790127
"318","YWHAZ",-0.776159355967669
"136","IGF1R",-0.748845314386301
"4","AGRN",-0.729216179801398
"40","CCL26",-0.72688209517046
"293","TNFRSF8",-0.719440969933283
"237","PDGFA",-0.698645279610376
"51","CD274",-0.696087643605464
"21","BST2",-0.681023215326084
"10","APOE",-0.621683017199717
"94","CXCL6",-0.612690739216409
"248","REST",-0.603681120808244
"71","CSF1",-0.600121490315773
"245","PSEN1",-0.587535038454045
"178","IL36B",-0.587281886467788
"256","SELE",-0.556205100907117
"118","GOT1",-0.53443477118473
"69","CRH",-0.528031896005013
"152","IL17B",-0.515443958430933
"286","TNFRSF14",-0.509816918966679
"285","TNFRSF13C",-0.50438268115175
"196","KNG1",-0.492009697482542
"147","IL15",-0.484393349851609
"310","VEGFA",-0.479540716742806
"250","S100A12",-0.473088542370346
"235","PDCD1",-0.470783045405797
"201","LIF",-0.461064773887996
"132","IFNG",-0.460962091599421
"150","IL17A",-0.439446484784065
"240","PDLIM5",-0.430876005686064
"165","IL1RN",-0.424197590947354
"70","CRP",-0.421487245397758
"217","MPO",-0.414439883546123
"62","CD93",-0.413561164352455
"66","CLEC4A",-0.405963147285154
"74","CSF2RB",-0.398014841190711
"61","CD83",-0.397273907993938
"88","CXCL13",-0.397171827240041
"161","IL1B",-0.396290381986507
"311","VEGFC",-0.385291341994237
"203","LTA",-0.381846520458671
"268","SPP1",-0.362599880102942
"269","SQSTM1",-0.361358985829443
"207","MERTK",-0.359086491982187
"288","TNFRSF18",-0.355785358498399
"251","S100A9",-0.350282807470838
"170","IL24",-0.34679881772854
"53","CD3E",-0.340323318944421
"168","IL22",-0.340094038015792
"209","MICB",-0.334826894402902
"121","GZMB",-0.328911237385082
"142","IL12B",-0.326938099637
"267","SOD1",-0.320738393508601
"34","CCL20",-0.30827754707468
"158","IL18BP",-0.304238259992806
"303","TNFSF8",-0.2988860032026
"254","SCG2",-0.282073342389974
"129","IFNA1; IFNA13",-0.281797117654192
"47","CCL8",-0.277773687491844
"139","IL10",-0.272769290140124
"102","FCN2",-0.263333368239847
"261","SLAMF1",-0.259466466533088
"151","IL17A|IL17F",-0.253097340401214
"116","GDNF",-0.248998660465095
"130","IFNA2",-0.245491125691463
"75","CSF3",-0.243260098554577
"8","ANXA1",-0.239573384578798
"84","CXCL1",-0.223566675462406
"246","PTN",-0.220193549385644
"83","CXADR",-0.213461529839121
"264","SNAP25",-0.206760026235224
"247","PTX3",-0.194053734836168
"89","CXCL14",-0.193074740316232
"95","CXCL8",-0.192433595735992
"230","NTF3",-0.190940711984156
"206","MDH1",-0.188653501317253
"101","FASLG",-0.184963637167502
"174","IL32",-0.181916571959526
"31","CCL17",-0.166693038711885
"9","ANXA5",-0.162471458169806
"32","CCL19",-0.155929704777228
"14","Aβ38",-0.153408149629993
"30","CCL16",-0.152454088444381
"128","ICOSLG",-0.14911808244672
"185","IL6",-0.140845457282129
"281","TNF",-0.136235469722001
"160","IL19",-0.130275481971288
"86","CXCL11",-0.128039358774474
"171","IL27",-0.124296011834392
"97","EGF",-0.113312270691913
"99","EPO",-0.109795487960288
"176","IL34",-0.102743934200091
"231","OSM",-0.0922533803797837
"308","UCHL1",-0.0811522521427729
"48","CD200",-0.070104085086437
"11","APOE4",-0.0672289274297519
"154","IL17F",-0.0663113023236558
"234","PARK7",-0.0573648533174778
"131","IFNB1",-0.0533252961072228
"56","CD40LG",-0.0531052828833335
"265","SNCA",-0.0500487945426554
"133","IFNL1",-0.0482566716682429
"49","CD200R1",-0.0449956227791508
"19","BDNF",-0.0398592266806289
"24","CALCA",-0.03760471569022
"153","IL17C",-0.0350064772491934
"91","CXCL2",-0.0313008146086796
"229","NRGN",-0.0240069040814938
"172","IL2RA",-0.0234400760701709
"45","CCL5",-0.0201056286800363
"238","PDGFB",-0.0183294933557614
"233","Oligo-SNCA",-0.0156395246748397
"7","ANGPT2",-0.0156375662369874
"208","MICA",-0.00839283888182125
"54","CD4",-0.00758936042496885
"181","IL4",-0.00598338734519089
"294","TNFRSF9",-0.00184537759215317
"173","IL2RB",0.000326798394717614
"242","PGK1",0.00146440848088022
"244","PRDX6",0.00543612022919863
"80","CTLA4",0.0121952164036455
"76","CSF3R",0.0141431342417194
"113","GDF15",0.0147612796517953
"274","TGFB3",0.0160394934083117
"87","CXCL12",0.0184550965570364
"141","IL11",0.0216859452460796
"271","TARDBP",0.0228198029346859
"239","PDGFRB",0.0255947788489603
"215","MMP8",0.0276061516169589
"109","FLT4",0.0277916079386593
"260","SIRPA",0.0316115342776133
"81","CTSS",0.037550963564748
"266","SNCB",0.046332029195662
"319","pSNCA-129",0.0545156086429101
"156","IL17RB",0.0581558874901951
"249","RUVBL2",0.0603823222976046
"183","IL5",0.0613075225889269
