"","name","coefficient"
"1","(Intercept)",-36.854643870175
"5","AGRP",-2.39540725514654
"276","THPO",-2.22585219690486
"82","CX3CL1",-2.10302746263208
"195","KLRK1",-2.0148318959523
"20","BMP7",-1.92077830972606
"182","IL4R",-1.58285679981832
"227","NPTXR",-1.52804213727326
"314","VSNL1",-1.49456038522353
"255","SDC1",-1.48175994060433
"35","CCL21",-1.44542016294343
"17","BACE1",-1.39814237288923
"58","CD63",-1.35835543608479
"295","TNFSF10",-1.30514205914962
"159","IL18R1",-1.30005269430027
"189","IL7R",-1.23734345582394
"224","NGF",-1.18058538972026
"3","AGER",-1.12942182828865
"272","TEK",-1.07751144648673
"275","THBS2",-1.03866943487679
"219","MUC16",-0.949229316028257
"36","CCL22",-0.901831389878091
"155","IL17RA",-0.888983823638425
"296","TNFSF11",-0.866446414231078
"270","TAFA5",-0.853601441167637
"163","IL1R2",-0.853094208319062
"205","MAPT",-0.850910020932592
"194","KLK6",-0.847181371370894
"78","CST7",-0.801911063876575
"140","IL10RB",-0.787361720362041
"164","IL1RL1",-0.772495725395142
"106","FGF23",-0.756403492770362
"175","IL33",-0.748427882895101
"318","YWHAZ",-0.738767556783072
"39","CCL25",-0.729435388537557
"293","TNFRSF8",-0.708824749715872
"21","BST2",-0.700571719794524
"51","CD274",-0.697224109292572
"4","AGRN",-0.696935100517264
"40","CCL26",-0.68701299513192
"71","CSF1",-0.618063292168205
"10","APOE",-0.594150304441464
"248","REST",-0.589130566135648
"237","PDGFA",-0.58480957018119
"256","SELE",-0.581962638367443
"178","IL36B",-0.579314994637333
"69","CRH",-0.551496062669847
"94","CXCL6",-0.545145700034745
"118","GOT1",-0.544870893976404
"245","PSEN1",-0.52532797219215
"196","KNG1",-0.513614180262505
"285","TNFRSF13C",-0.51061560276258
"147","IL15",-0.503542500548304
"286","TNFRSF14",-0.50294429276999
"152","IL17B",-0.499586169844636
"310","VEGFA",-0.475044488875394
"250","S100A12",-0.465261650586624
"136","IGF1R",-0.46039837204331
"235","PDCD1",-0.451168597287745
"201","LIF",-0.430906131146981
"132","IFNG",-0.423745443996305
"217","MPO",-0.409343785361591
"240","PDLIM5",-0.40255055140185
"150","IL17A",-0.398148836348691
"203","LTA",-0.398042327239564
"74","CSF2RB",-0.393504750071546
"161","IL1B",-0.384689486899021
"311","VEGFC",-0.379503385409425
"66","CLEC4A",-0.377975000971032
"70","CRP",-0.3707100171032
"207","MERTK",-0.363761234185102
"88","CXCL13",-0.361760608178546
"251","S100A9",-0.356327912819813
"53","CD3E",-0.353624375671631
"288","TNFRSF18",-0.349336191707091
"165","IL1RN",-0.34814585632734
"168","IL22",-0.347907919091438
"209","MICB",-0.331469784012208
"62","CD93",-0.33103058986252
"269","SQSTM1",-0.328193660994819
"34","CCL20",-0.327800660806832
"170","IL24",-0.326241655733555
"61","CD83",-0.320795458351052
"101","FASLG",-0.31322380983444
"142","IL12B",-0.305006226231183
"268","SPP1",-0.30466795794795
"267","SOD1",-0.293901931426155
"102","FCN2",-0.288475747343827
"121","GZMB",-0.26456410906036
"158","IL18BP",-0.261971137107625
"75","CSF3",-0.25257610631052
"151","IL17A|IL17F",-0.249717086821897
"116","GDNF",-0.249304092030138
"47","CCL8",-0.246014418916707
"130","IFNA2",-0.244994797737665
"303","TNFSF8",-0.242783317381608
"139","IL10",-0.239866577467357
"129","IFNA1; IFNA13",-0.237676272244089
"8","ANXA1",-0.233839298101147
"254","SCG2",-0.228782048938947
"261","SLAMF1",-0.225158574901798
"84","CXCL1",-0.196578189995091
"247","PTX3",-0.19590308006463
"32","CCL19",-0.190369905988264
"89","CXCL14",-0.189322021558931
"230","NTF3",-0.185576322465722
"264","SNAP25",-0.184364542635254
"246","PTN",-0.182812137285768
"174","IL32",-0.176558380432955
"83","CXADR",-0.168406673152851
"49","CD200R1",-0.16593506622539
"206","MDH1",-0.159152996680744
"95","CXCL8",-0.149477736032416
"9","ANXA5",-0.148505649465432
"31","CCL17",-0.143944307626138
"30","CCL16",-0.143511018311596
"281","TNF",-0.139234968386023
"160","IL19",-0.13334101355206
"231","OSM",-0.123613717464027
"171","IL27",-0.1234062115515
"185","IL6",-0.117568107480687
"14","Aβ38",-0.106922539803378
"97","EGF",-0.102627313717291
"86","CXCL11",-0.102084475308631
"176","IL34",-0.0981595127676675
"99","EPO",-0.0900641283976056
"128","ICOSLG",-0.089991484874441
"131","IFNB1",-0.0694579512706135
"11","APOE4",-0.0683723508448758
"48","CD200",-0.0668746019535223
"234","PARK7",-0.0631809984551942
"24","CALCA",-0.0565038759414764
"154","IL17F",-0.0548030591616738
"56","CD40LG",-0.0508999525999426
"294","TNFRSF9",-0.0488679172032322
"133","IFNL1",-0.0392274603969222
"7","ANGPT2",-0.0391243593317572
"308","UCHL1",-0.0383819152620092
"45","CCL5",-0.0315674136676508
"19","BDNF",-0.031559936197622
"238","PDGFB",-0.0277974612108269
"153","IL17C",-0.0255313357300308
"244","PRDX6",-0.0231165420245366
"172","IL2RA",-0.0174868540371371
"229","NRGN",-0.0129544243449151
"91","CXCL2",-0.0108987747924528
"265","SNCA",-0.00743121035955114
"54","CD4",-0.00420550973485101
"208","MICA",-0.00228676281010531
"233","Oligo-SNCA",-0.00144844125223547
"181","IL4",0.000323808221718188
"215","MMP8",0.00460505039794837
"80","CTLA4",0.00500054145427795
"141","IL11",0.00568560338706513
"16","Aβ42",0.00603534404799998
"87","CXCL12",0.00850898718507717
"274","TGFB3",0.00882408911468658
"242","PGK1",0.0118315673582845
"271","TARDBP",0.0168384575465586
"260","SIRPA",0.0180345121307191
"291","TNFRSF21",0.0231355577605066
"76","CSF3R",0.028600663484796
"113","GDF15",0.0296448387754527
"81","CTSS",0.0356637095388647
"173","IL2RB",0.0363439145561002
"290","TNFRSF1B",0.0387151325913694
"134","IFNL2; IFNL3",0.0397774477076508
"266","SNCB",0.0413032149090816
"249","RUVBL2",0.0422654606855843
"319","pSNCA-129",0.04424338246795
"109","FLT4",0.0455536661561737
"239","PDGFRB",0.0456883135278065
"156","IL17RB",0.057291491266799
"282","TNFRSF11A",0.0628027868511225
"315","VSTM1",0.0688780991529939
"278","TIMP2",0.0741918751260806
"280","TLR3",0.0754954614972156
"262","SLIT2",0.0778713237461033
"228","NPY",0.079765891145036
"320","pTDP43-409",0.0798846128855083
"317","WNT7A",0.0825729139976678
"273","TGFB1",0.0827970745554034
"6","ANGPT1",0.08286616257241
"72","CSF1R",0.0832530770726483
"183","IL5",0.0867896137768802
"65","CHIT1",0.0877885808922033
"44","CCL4",0.0890146592010857
"120","GZMA",0.0890871113136087
"67","CNTF",0.0902881780856009
"258","SFRP1",0.0946283550403243
"167","IL20",0.0964830877494172
"204","LTA|LTB",0.0969434857533698
"25","CCL1",0.099568897803367
"138","IKBKG",0.116095512779799
"253","SAA1",0.116966880562046
"323","pTau-231",0.120174227612811
"313","VGF",0.129157694868094
"169","IL23",0.140882880947352
"126","HTT",0.144146092142641
"299","TNFSF14",0.150341183237649
"277","TIMP1",0.151421271216975
"188","IL7",0.155877658622997
"220","NAMPT",0.158484759384027
"79","CTF1",0.158802983454752
"216","MMP9",0.163686227806536
"298","TNFSF13",0.170658009820334
"186","IL6R",0.174435879720029
"92","CXCL3",0.181140416392014
"42","CCL28",0.196323454488195
"104","FGF2",0.200397829513748
"177","IL36A",0.201955921587781
"107","FLT1",0.20807833152929
"135","IFNW1",0.20932869614045
"211","MME",0.210351262458941
"263","SMOC1",0.218414194151154
"210","MIF",0.222948980229381
"283","TNFRSF11B",0.22823248937737
"124","HGF",0.234079039045812
"191","IRAK4",0.241219825176743
"38","CCL24",0.242346102800707
"18","BASP1",0.249674870987334
"279","TIMP3",0.253674362406176
"180","IL3RA",0.253731662072013
"23","CALB2",0.259536965564581
"12","AREG",0.265740507104316
"127","ICAM1",0.267833222444631
"307","TSLP",0.269907259945324
"322","pTau-217",0.27271773159749
"222","NEFH",0.272893377967296
"197","LAG3",0.276798256079386
"243","POSTN",0.286188629112381
"15","Aβ40",0.302398785304261
"90","CXCL16",0.303688554068782
"179","IL36G",0.304539058403147
"292","TNFRSF4",0.306421544263906
"46","CCL7",0.309909063800075
"13","ARSA",0.334874673813742
"212","MMP1",0.339838657509848
"145","IL13",0.340008531691753
"146","IL13RA2",0.343185839124312
"43","CCL3",0.358227096768633
"73","CSF2",0.371090870154257
"157","IL18",0.372927719529512
"214","MMP3",0.376303797163047
"52","CD276",0.381456172279196
"110","FOLR1",0.392514239501735
"93","CXCL5",0.399015922050596
"301","TNFSF18",0.405114748921943
"289","TNFRSF1A",0.418640884495649
"199","LCN2",0.419302717651303
"187","IL6ST",0.419611240655198
