"","j","error","rmse","cor","auc","gamma","cost"
"126",126,10.2887774561542,10.9813354457541,0.87803547717104,0.725094577553594,0.00126,0.5
"127",127,10.2817457432038,10.9778999881711,0.878105064748043,0.724674232870954,0.00127,0.5
"128",128,10.2739653792123,10.975104579485,0.878137425174304,0.722992854140395,0.00128,0.5
"129",129,10.2666406439475,10.971691770765,0.878193755039498,0.721731820092476,0.00129,0.5
"130",130,10.2596880233393,10.9692036194528,0.878223714941895,0.721311475409836,0.0013,0.5
"131",131,10.2521238093588,10.96567327688,0.878282151581291,0.720891130727196,0.00131,0.5
"132",132,10.2445009739875,10.9623857000144,0.878333984672865,0.719630096679277,0.00132,0.5
"133",133,10.2377625129186,10.9596768408952,0.878385354162511,0.719209751996637,0.00133,0.5
"134",134,10.2310576806923,10.9563768787139,0.878442946861237,0.718369062631357,0.00134,0.5
"135",135,10.2242885775587,10.953096565105,0.878503107054988,0.717948717948718,0.00135,0.5
"136",136,10.2168076212882,10.9496487658802,0.878560502293975,0.717948717948718,0.00136,0.5
"137",137,10.2104260732886,10.9468461407116,0.878593242576218,0.716687683900798,0.00137,0.5
"138",138,10.2038427378198,10.9434478093109,0.878668779615567,0.715846994535519,0.00138,0.5
"139",139,10.1977463653014,10.9406246132962,0.878713603826728,0.716267339218159,0.00139,0.5
"140",140,10.1905509561654,10.9369106324548,0.878782295298997,0.715426649852879,0.0014,0.5
"141",141,10.1844488983621,10.9333834803319,0.878855641595268,0.7145859604876,0.00141,0.5
"142",142,10.1778184578984,10.9297913115624,0.878934917215722,0.71416561580496,0.00142,0.5
"143",143,10.1715078456448,10.9263564289257,0.879012460640891,0.71374527112232,0.00143,0.5
"144",144,10.1651667403264,10.92250230639,0.879081722008434,0.71374527112232,0.00144,0.5
"145",145,10.1580971393106,10.9182659011069,0.879183315683634,0.712484237074401,0.00145,0.5
"146",146,10.1521583033033,10.9146150358782,0.879255784379657,0.711643547709121,0.00146,0.5
"147",147,10.1461773985558,10.9110755774681,0.879335903001273,0.709962168978562,0.00147,0.5
"148",148,10.1398069437665,10.907536195608,0.879429423809779,0.708701134930643,0.00148,0.5
"149",149,10.1332937618263,10.9035476365737,0.879514450105645,0.709121479613282,0.00149,0.5
"150",150,10.1280123099008,10.9002955290024,0.879591170722767,0.708701134930643,0.0015,0.5
"151",151,10.1229880863194,10.8972064740287,0.879670063609954,0.708701134930643,0.00151,0.5
"152",152,10.1169942138142,10.8938275457699,0.879750558743547,0.707860445565363,0.00152,0.5
"153",153,10.1117002717549,10.8905834555733,0.879834415208666,0.706599411517444,0.00153,0.5
"154",154,10.1063593038484,10.8869393997936,0.87992468596108,0.705758722152164,0.00154,0.5
"155",155,10.1010397842984,10.8835280418928,0.88000486974383,0.704918032786885,0.00155,0.5
"156",156,10.0954185762942,10.879878446064,0.880094889246838,0.705338377469525,0.00156,0.5
"157",157,10.0913459951731,10.8773618303922,0.880170919252505,0.704497688104245,0.00157,0.5
"158",158,10.0868799508144,10.8740457537812,0.880253056134693,0.704077343421606,0.00158,0.5
"159",159,10.082611402639,10.8712429040702,0.880315734557292,0.703656998738966,0.00159,0.5
"160",160,10.0790317715716,10.8686009344936,0.880386528957915,0.703656998738966,0.0016,0.5
"161",161,10.0750843348794,10.8654931136296,0.88046548189207,0.703236654056326,0.00161,0.5
"162",162,10.0707166566744,10.8626777742814,0.880535171873514,0.702395964691047,0.00162,0.5
"163",163,10.0676991038446,10.8605401890364,0.880599504737084,0.701555275325767,0.00163,0.5
"164",164,10.0629349362131,10.8570826330955,0.880682371359895,0.701134930643127,0.00164,0.5
"165",165,10.0598402411538,10.8545606889828,0.880739695190094,0.700294241277848,0.00165,0.5
"166",166,10.0555859251636,10.8518621604198,0.880815463975168,0.699453551912568,0.00166,0.5
"167",167,10.0521126994142,10.8492848602057,0.880881354096918,0.699453551912568,0.00167,0.5
"168",168,10.0492011907447,10.8472473233727,0.880943713625204,0.699453551912568,0.00168,0.5
"169",169,10.0458599467512,10.8453707850468,0.880983183283699,0.699033207229928,0.00169,0.5
"170",170,10.0429086002022,10.8436420417391,0.881035674838988,0.697772173182009,0.0017,0.5
"171",171,10.0401663596734,10.8418561302859,0.881093199333363,0.69693148381673,0.00171,0.5
"172",172,10.0371586567536,10.8395438129993,0.881156888431459,0.694409415720891,0.00172,0.5
