"","name","coefficient"
"33","CCL21",-6.64045335785553
"244","THPO",-4.57929801079558
"181","MAPT",-3.99165019164243
"75","CX3CL1",-3.95075803039322
"16","BACE1",-3.65280089617738
"19","BMP7",-3.5720751270663
"145","IL1R2",-3.42923576592429
"4","AGRN",-3.36430391749336
"276","VEGFA",-3.34924284568849
"170","KLK6",-3.22463979912513
"155","IL33",-3.00286847610253
"146","IL1RL1",-2.93405782316415
"5","AGRP",-2.92037414423607
"210","PDCD1",-2.90325391135118
"34","CCL22",-2.77080844182083
"171","KLRK1",-2.73412879653954
"190","MMP8",-2.70671580639954
"267","TNFSF18",-2.70558871121637
"98","FLT4",-2.63865173484396
"81","CXCL13",-2.6182201286139
"227","SDC1",-2.56703321225
"268","TNFSF4",-2.48216495909787
"10","APOE",-2.32137361700886
"173","LAG3",-2.30568738377107
"243","THBS2",-2.29352427676462
"153","IL2RB",-2.13174031752945
"253","TNFRSF14",-2.07259689938346
"257","TNFRSF1B",-2.03755948989347
"163","IL6R",-2.03212995956205
"18","BDNF",-1.93490279484192
"20","BST2",-1.87055579885515
"259","TNFRSF8",-1.84912416861389
"233","SLIT2",-1.82653404688092
"60","CLEC4A",-1.7966499100388
"226","SCG2",-1.77147145734994
"26","CCL13",-1.75869735196214
"118","IFNG",-1.72024150520783
"3","AGER",-1.71239614022651
"42","CCL7",-1.66126324445409
"285","pTDP43-409",-1.65478482132282
"114","ICOSLG",-1.61897901989329
"44","CD200R1",-1.60153529580632
"280","VSNL1",-1.59129759992527
"277","VEGFC",-1.52966719136613
"52","CD63",-1.41231130595628
"166","IL7R",-1.38681540190813
"237","SPP1",-1.38215466874373
"261","TNFSF10",-1.37784570347506
"221","RUVBL2",-1.36901183751258
"236","SOD1",-1.34272479409499
"55","CD83",-1.33119281647241
"252","TNFRSF13C",-1.2868501691556
"69","CSF3R",-1.23450515244606
"138","IL17RA",-1.20161507938596
"51","CD40LG",-1.09801840149688
"135","IL17B",-1.06229037317686
"123","IL10",-1.04878152064491
"215","PGK1",-1.04321531026399
"47","CD276",-1.03746033114704
"182","MDH1",-1.00512209618314
"141","IL18BP",-0.99386580828474
"12","AREG",-0.986603318854037
