"","j","error","rmse","cor","auc","max_depth","num_leaves","num_iterations","early_stopping_rounds","learning_rate"
"1",1,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,20,200,20,0.45
"2",2,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,20,200,20,0.45
"3",3,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,20,200,20,0.45
"4",4,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,20,200,20,0.45
"5",5,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,20,200,20,0.45
"6",6,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,20,200,20,0.45
"7",7,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,20,200,20,0.45
"8",8,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,20,200,20,0.45
"9",9,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,20,200,20,0.45
"10",10,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,21,200,20,0.45
"11",11,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,21,200,20,0.45
"12",12,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,21,200,20,0.45
"13",13,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,21,200,20,0.45
"14",14,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,21,200,20,0.45
"15",15,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,21,200,20,0.45
"16",16,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,21,200,20,0.45
"17",17,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,21,200,20,0.45
"18",18,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,21,200,20,0.45
"19",19,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,22,200,20,0.45
"20",20,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,22,200,20,0.45
"21",21,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,22,200,20,0.45
"22",22,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,22,200,20,0.45
"23",23,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,22,200,20,0.45
"24",24,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,22,200,20,0.45
"25",25,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,22,200,20,0.45
"26",26,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,22,200,20,0.45
"27",27,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,22,200,20,0.45
"28",28,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,23,200,20,0.45
"29",29,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,23,200,20,0.45
"30",30,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,23,200,20,0.45
"31",31,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,23,200,20,0.45
"32",32,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,23,200,20,0.45
"33",33,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,23,200,20,0.45
"34",34,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,23,200,20,0.45
"35",35,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,23,200,20,0.45
"36",36,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,23,200,20,0.45
"37",37,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,24,200,20,0.45
"38",38,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,24,200,20,0.45
"39",39,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,24,200,20,0.45
"40",40,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,24,200,20,0.45
"41",41,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,24,200,20,0.45
"42",42,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,24,200,20,0.45
"43",43,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,24,200,20,0.45
"44",44,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,24,200,20,0.45
"45",45,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,24,200,20,0.45
"46",46,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,25,200,20,0.45
"47",47,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,25,200,20,0.45
"48",48,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,25,200,20,0.45
"49",49,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,25,200,20,0.45
"50",50,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,25,200,20,0.45
"51",51,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,25,200,20,0.45
"52",52,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,25,200,20,0.45
"53",53,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,25,200,20,0.45
"54",54,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,25,200,20,0.45
"55",55,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,26,200,20,0.45
"56",56,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,26,200,20,0.45
"57",57,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,26,200,20,0.45
"58",58,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,26,200,20,0.45
"59",59,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,26,200,20,0.45
"60",60,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,26,200,20,0.45
"61",61,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,26,200,20,0.45
"62",62,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,26,200,20,0.45
"63",63,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,26,200,20,0.45
"64",64,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,27,200,20,0.45
"65",65,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,27,200,20,0.45
"66",66,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,27,200,20,0.45
"67",67,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,27,200,20,0.45
"68",68,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,27,200,20,0.45
"69",69,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,27,200,20,0.45
"70",70,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,27,200,20,0.45
"71",71,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,27,200,20,0.45
"72",72,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,27,200,20,0.45
"73",73,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,28,200,20,0.45
"74",74,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,28,200,20,0.45
"75",75,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,28,200,20,0.45
"76",76,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,28,200,20,0.45
"77",77,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,28,200,20,0.45
"78",78,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,28,200,20,0.45
"79",79,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,28,200,20,0.45
"80",80,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,28,200,20,0.45
"81",81,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,28,200,20,0.45
"82",82,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,20,250,20,0.45
"83",83,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,20,250,20,0.45
"84",84,5.23779620770553,13.1781470328221,0.805448799516305,0.675819672131147,4,20,250,20,0.45
"85",85,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,20,250,20,0.45
"86",86,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,20,250,20,0.45
"87",87,1.20413279999217,12.6223065036389,0.823654970121824,0.671311475409836,5,20,250,20,0.45
