"","j","error","rmse","cor","auc","max_depth","num_leaves","num_iterations","early_stopping_rounds","learning_rate"
"1",1,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,20,200,20,0.45
"2",2,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,20,200,20,0.45
"3",3,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,20,200,20,0.45
"4",4,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,20,200,20,0.45
"5",5,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,20,200,20,0.45
"6",6,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,20,200,20,0.45
"7",7,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,20,200,20,0.45
"8",8,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,20,200,20,0.45
"9",9,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,20,200,20,0.45
"10",10,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,21,200,20,0.45
"11",11,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,21,200,20,0.45
"12",12,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,21,200,20,0.45
"13",13,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,21,200,20,0.45
"14",14,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,21,200,20,0.45
"15",15,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,21,200,20,0.45
"16",16,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,21,200,20,0.45
"17",17,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,21,200,20,0.45
"18",18,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,21,200,20,0.45
"19",19,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,22,200,20,0.45
"20",20,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,22,200,20,0.45
"21",21,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,22,200,20,0.45
"22",22,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,22,200,20,0.45
"23",23,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,22,200,20,0.45
"24",24,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,22,200,20,0.45
"25",25,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,22,200,20,0.45
"26",26,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,22,200,20,0.45
"27",27,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,22,200,20,0.45
"28",28,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,23,200,20,0.45
"29",29,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,23,200,20,0.45
"30",30,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,23,200,20,0.45
"31",31,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,23,200,20,0.45
"32",32,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,23,200,20,0.45
"33",33,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,23,200,20,0.45
"34",34,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,23,200,20,0.45
"35",35,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,23,200,20,0.45
"36",36,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,23,200,20,0.45
"37",37,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,24,200,20,0.45
"38",38,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,24,200,20,0.45
"39",39,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,24,200,20,0.45
"40",40,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,24,200,20,0.45
"41",41,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,24,200,20,0.45
"42",42,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,24,200,20,0.45
"43",43,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,24,200,20,0.45
"44",44,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,24,200,20,0.45
"45",45,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,24,200,20,0.45
"46",46,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,25,200,20,0.45
"47",47,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,25,200,20,0.45
"48",48,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,25,200,20,0.45
"49",49,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,25,200,20,0.45
"50",50,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,25,200,20,0.45
"51",51,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,25,200,20,0.45
"52",52,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,25,200,20,0.45
"53",53,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,25,200,20,0.45
"54",54,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,25,200,20,0.45
"55",55,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,26,200,20,0.45
"56",56,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,26,200,20,0.45
"57",57,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,26,200,20,0.45
"58",58,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,26,200,20,0.45
"59",59,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,26,200,20,0.45
"60",60,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,26,200,20,0.45
"61",61,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,26,200,20,0.45
"62",62,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,26,200,20,0.45
"63",63,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,26,200,20,0.45
"64",64,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,27,200,20,0.45
"65",65,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,27,200,20,0.45
"66",66,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,27,200,20,0.45
"67",67,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,27,200,20,0.45
"68",68,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,27,200,20,0.45
"69",69,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,27,200,20,0.45
"70",70,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,27,200,20,0.45
"71",71,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,27,200,20,0.45
"72",72,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,27,200,20,0.45
"73",73,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,28,200,20,0.45
"74",74,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,28,200,20,0.45
"75",75,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,28,200,20,0.45
"76",76,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,28,200,20,0.45
"77",77,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,28,200,20,0.45
"78",78,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,28,200,20,0.45
"79",79,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,28,200,20,0.45
"80",80,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,28,200,20,0.45
"81",81,4.17044878615741,11.0621307545143,0.87553922832754,0.648981324278438,5,28,200,20,0.45
"82",82,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,20,250,20,0.45
"83",83,0.30225562105548,10.5061177389297,0.886743382828635,0.662563667232598,4,20,250,20,0.45
