"","j","error","rmse","cor","auc","max_depth","num_leaves","num_iterations","early_stopping_rounds","learning_rate"
"1",1,3.41066070345238,10.858905356946,0.858667882983885,0.685267857142857,4,20,200,20,0.45
"2",2,3.41066070345238,10.858905356946,0.858667882983885,0.685267857142857,4,20,200,20,0.45
"3",3,3.41066070345238,10.858905356946,0.858667882983885,0.685267857142857,4,20,200,20,0.45
"4",4,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,20,200,20,0.45
"5",5,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,20,200,20,0.45
"6",6,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,20,200,20,0.45
"7",7,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,20,200,20,0.45
"8",8,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,20,200,20,0.45
"9",9,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,20,200,20,0.45
"10",10,3.41066070345238,10.858905356946,0.858667882983885,0.685267857142857,4,21,200,20,0.45
"11",11,3.41066070345238,10.858905356946,0.858667882983885,0.685267857142857,4,21,200,20,0.45
"12",12,3.41066070345238,10.858905356946,0.858667882983885,0.685267857142857,4,21,200,20,0.45
"13",13,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,21,200,20,0.45
"14",14,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,21,200,20,0.45
"15",15,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,21,200,20,0.45
"16",16,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,21,200,20,0.45
"17",17,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,21,200,20,0.45
"18",18,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,21,200,20,0.45
"19",19,3.41066070345238,10.858905356946,0.858667882983885,0.685267857142857,4,22,200,20,0.45
"20",20,3.41066070345238,10.858905356946,0.858667882983885,0.685267857142857,4,22,200,20,0.45
"21",21,3.41066070345238,10.858905356946,0.858667882983885,0.685267857142857,4,22,200,20,0.45
"22",22,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,22,200,20,0.45
"23",23,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,22,200,20,0.45
"24",24,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,22,200,20,0.45
"25",25,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,22,200,20,0.45
"26",26,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,22,200,20,0.45
"27",27,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,22,200,20,0.45
"28",28,3.41066070345238,10.858905356946,0.858667882983885,0.685267857142857,4,23,200,20,0.45
"29",29,3.41066070345238,10.858905356946,0.858667882983885,0.685267857142857,4,23,200,20,0.45
"30",30,3.41066070345238,10.858905356946,0.858667882983885,0.685267857142857,4,23,200,20,0.45
"31",31,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,23,200,20,0.45
"32",32,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,23,200,20,0.45
"33",33,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,23,200,20,0.45
"34",34,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,23,200,20,0.45
"35",35,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,23,200,20,0.45
"36",36,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,23,200,20,0.45
"37",37,3.41066070345238,10.858905356946,0.858667882983885,0.685267857142857,4,24,200,20,0.45
"38",38,3.41066070345238,10.858905356946,0.858667882983885,0.685267857142857,4,24,200,20,0.45
"39",39,3.41066070345238,10.858905356946,0.858667882983885,0.685267857142857,4,24,200,20,0.45
"40",40,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,24,200,20,0.45
"41",41,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,24,200,20,0.45
"42",42,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,24,200,20,0.45
"43",43,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,24,200,20,0.45
"44",44,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,24,200,20,0.45
"45",45,1.09969683070627,10.5182031965274,0.867826617443453,0.651785714285715,5,24,200,20,0.45
"46",46,3.41066070345238,10.858905356946,0.858667882983885,0.685267857142857,4,25,200,20,0.45
"47",47,3.41066070345238,10.858905356946,0.858667882983885,0.685267857142857,4,25,200,20,0.45
"48",48,3.41066070345238,10.858905356946,0.858667882983885,0.685267857142857,4,25,200,20,0.45
