"","name","coefficient"
"34","CCL21",-7.86970489387556
"266","THPO",-6.3530872013237
"283","TNFRSF8",-5.50598207988161
"128","IGF1R",-5.22446234925047
"147","IL17RA",-4.81869893279239
"50","CD274",-4.44520945463571
"79","CX3CL1",-4.36879957039233
"2","ACHE",-4.13566714548413
"167","IL33",-4.11022290304513
"5","AGRP",-3.58907279816915
"18","BDNF",-3.44076602078793
"292","TNFSF4",-3.37641294274132
"20","BST2",-3.0755171457057
"227","PDCD1LG2",-2.90792427783244
"4","AGRN",-2.84617348645437
"197","MAPT",-2.77627973009515
"228","PDGFA",-2.68186135273362
"276","TNFRSF14",-2.58820193514221
"19","BMP7",-2.58125954755409
"189","LAG3",-2.52846322326465
"255","SNCA",-2.45259505141413
"195","LTA",-2.42007758001516
"156","IL1RL1",-2.39958093060086
"55","CD40LG",-2.33397063668302
"218","NPTXR",-2.32951166480928
"132","IL10RB",-2.29734133786451
"275","TNFRSF13C",-2.28467944773918
"260","TAFA5",-2.20212880151902
"187","KLRK1",-2.06218472911183
"233","PGK1",-1.90697288981926
"178","IL6R",-1.81156239255247
"281","TNFRSF21",-1.74896365592295
"35","CCL22",-1.73791438012574
"151","IL18R1",-1.68902250993323
"237","PTN",-1.68534997103563
"150","IL18BP",-1.61734946150858
"131","IL10",-1.59132734857477
"46","CCL8",-1.58813261509729
"278","TNFRSF18",-1.54551124554101
"198","MDH1",-1.53819215223733
"181","IL7R",-1.48625366868784
"304","VSNL1",-1.39330975111404
"121","ICOSLG",-1.35634735855619
"45","CCL7",-1.35044238519736
"118","HGF",-1.3374509071933
"280","TNFRSF1B",-1.26260076607418
"301","VEGFC",-1.24523319091849
"230","PDGFRB",-1.21755538169663
"144","IL17B",-1.20745485031575
"193","LIF",-1.19838615630118
"186","KLK6",-1.17449086422063
"38","CCL25",-1.17356343353762
"209","MPO",-1.15321281839447
"313","pTau-231",-1.15011191892783
"286","TNFSF11",-1.14729474604664
"220","NRGN",-1.12380312125172
"168","IL34",-1.12100895370399
"244","SCG2",-1.10860132414207
"300","VEGFA",-1.07868078244815
"242","S100A9",-1.07263605894342
"155","IL1R2",-1.06853520375694
"85","CXCL13",-1.04943760013749
"239","REST",-0.986587417195289
"91","CXCL6",-0.970664203104777
"251","SLAMF1",-0.958661574074677
"122","IFNA1; IFNA13",-0.937170505654719
"70","CSF1R",-0.89585698813673
"125","IFNG",-0.875514977315983
"208","MMP9",-0.870546978616952
"9","APOE",-0.846369226734943
"3","AGER",-0.841678830516947
"265","THBS2",-0.832850720609515
"262","TEK",-0.801675511261393
"224","Oligo-SNCA",-0.797297597906657
"232","PGF",-0.78346752155348
"245","SDC1",-0.781117385520385
"115","GZMB",-0.772572083096112
"214","NEFL",-0.746309156993652
"268","TIMP2",-0.725184629173186
"231","PDLIM5",-0.706414872539875
"16","BACE1",-0.70441131022511
"87","CXCL16",-0.698244581051196
"240","RUVBL2",-0.680612599991715
"152","IL19",-0.667144308608075
"310","pTDP43-409",-0.642898366090858
"285","TNFSF10",-0.637620456061226
"258","SPP1",-0.619385905246942
"226","PDCD1",-0.61224669185796
"291","TNFSF18",-0.606599939323523
"71","CSF2",-0.604280234141004
"257","SOD1",-0.601064366145758
"7","ANGPT2",-0.5884520099503
"271","TNF",-0.583177359463054
"166","IL32",-0.58099054554308
"157","IL1RN",-0.553450756592214
"103","FGF23",-0.538900831893399
"88","CXCL2",-0.536506807203664
"86","CXCL14",-0.533877096014845
"205","MMP12",-0.53230180123028
"267","TIMP1",-0.519123284711106
"165","IL2RB",-0.514289614069623
"114","GZMA",-0.510621315093016
"306","WNT16",-0.496754734788341
"112","GOT1",-0.493474476683374
"249","SFTPD",-0.444695796840467
"60","CD83",-0.420084769272031
"26","CCL13",-0.418946901245859
"120","HTT",-0.415849177195469
"161","IL23",-0.414491174451966
"92","CXCL8",-0.413443683851533
"135","IL12RB1",-0.406457219502117
"162","IL24",-0.398198317112693
"210","MUC16",-0.391154811744934
"74","CSF3R",-0.366622887081858
"177","IL6",-0.356990654135777
"163","IL27",-0.356877193768854
"23","CALCA",-0.353534314842181
"160","IL22",-0.345007895153315
"130","IKBKG",-0.338980898170463
"295","TREM1",-0.335852602122441
"21","C1QA",-0.322046677045651
"207","MMP8",-0.304856965486059
"259","SQSTM1",-0.304438895844544
"8","ANXA1",-0.303617905860434
