"","name","coefficient"
"1","(Intercept)",-109.733253362666
"5","AGRP",-1.09732506706935
"182","IL4R",-0.765913033689308
"195","KLRK1",-0.748880282059503
"255","SDC1",-0.73614141225498
"20","BMP7",-0.700498970310024
"35","CCL21",-0.699543028397946
"163","IL1R2",-0.686203370822725
"272","TEK",-0.647310916838043
"227","NPTXR",-0.626901496403239
"58","CD63",-0.60803248535716
"296","TNFSF11",-0.596401271517715
"314","VSNL1",-0.554449355929654
"101","FASLG",-0.537449431372207
"189","IL7R",-0.506792787290093
"82","CX3CL1",-0.50618541880322
"276","THPO",-0.464658081219682
"49","CD200R1",-0.454117195840508
"264","SNAP25",-0.432115340049855
"3","AGER",-0.427137799954482
"203","LTA",-0.416878412093949
"224","NGF",-0.409716807737251
"71","CSF1",-0.399836805411613
"66","CLEC4A",-0.39665811321498
"21","BST2",-0.3839385146355
"256","SELE",-0.373832414318695
"275","THBS2",-0.363959549465644
"295","TNFSF10",-0.362068012687785
"69","CRH",-0.360793968464639
"285","TNFRSF13C",-0.347638303166011
"152","IL17B",-0.331311206954135
"78","CST7",-0.320837755729971
"251","S100A9",-0.319322580826831
"178","IL36B",-0.314189608625334
"293","TNFRSF8",-0.312837356959226
"36","CCL22",-0.295355776382114
"219","MUC16",-0.288280933148651
"155","IL17RA",-0.274639346880937
"159","IL18R1",-0.266193545559541
"217","MPO",-0.258759392642171
"118","GOT1",-0.254375717007847
"207","MERTK",-0.2515668295634
"161","IL1B",-0.251114373405212
"247","PTX3",-0.249569763177313
"179","IL36G",-0.248850329094537
"51","CD274",-0.243212169509845
"106","FGF23",-0.238127652136662
"102","FCN2",-0.237096940323527
"40","CCL26",-0.231505295683382
"116","GDNF",-0.228748503284093
"88","CXCL13",-0.227407114226248
"89","CXCL14",-0.21423061521991
"231","OSM",-0.213041747903625
"109","FLT4",-0.206819997360257
"140","IL10RB",-0.20365375679327
"74","CSF2RB",-0.200001921995573
"171","IL27",-0.199687676809423
"8","ANXA1",-0.198485531133979
"83","CXADR",-0.195280991152004
"164","IL1RL1",-0.186733118072371
"201","LIF",-0.181081621226607
"53","CD3E",-0.176461379945226
"235","PDCD1",-0.172181744877807
"168","IL22",-0.166477127567235
"147","IL15",-0.16327169628213
"167","IL20",-0.156644683050722
"209","MICB",-0.155869914857639
"196","KNG1",-0.151350095684169
"54","CD4",-0.149838938769245
"39","CCL25",-0.14978202107511
"215","MMP8",-0.148243063050523
"10","APOE",-0.147293663081681
"248","REST",-0.147097301466645
"158","IL18BP",-0.144528914786419
"318","YWHAZ",-0.143394172018713
"240","PDLIM5",-0.136458845302847
"250","S100A12",-0.132028036223466
"120","GZMA",-0.130080914890299
"75","CSF3",-0.129975622875302
"246","PTN",-0.129473769321049
"151","IL17A|IL17F",-0.127986940749825
"165","IL1RN",-0.126492628268556
"280","TLR3",-0.125202466486933
"156","IL17RB",-0.12155214227672
"267","SOD1",-0.116213104237986
"131","IFNB1",-0.106701182438458
"32","CCL19",-0.105667435454985
"130","IFNA2",-0.102858047281499
"270","TAFA5",-0.0998676272967183
"24","CALCA",-0.0998109731947787
"4","AGRN",-0.0986659924823714
"94","CXCL6",-0.0977144198325384
"107","FLT1",-0.0976902901187389
"274","TGFB3",-0.0913270465279771
"173","IL2RB",-0.0907340592270997
"7","ANGPT2",-0.0888637950774041
"170","IL24",-0.0882695018036172
"174","IL32",-0.0861782124195973
"142","IL12B",-0.0835115870062536
"62","CD93",-0.0805005840816089
"61","CD83",-0.0790607967235883
"139","IL10",-0.0750729120277837
"12","AREG",-0.0746454439102214
"150","IL17A",-0.0717848107160866
"268","SPP1",-0.0671108455181335
"141","IL11",-0.0649815828587143
"230","NTF3",-0.0600902180436571
"87","CXCL12",-0.0592553551845162
"206","MDH1",-0.0577989572815156
"204","LTA|LTB",-0.0555772889089022
"132","IFNG",-0.0532318068886049
"291","TNFRSF21",-0.0524064639022733
"315","VSTM1",-0.0516679723765895
"97","EGF",-0.0513616851319665
"124","HGF",-0.0498738059098236
"134","IFNL2; IFNL3",-0.0469127725304799
"216","MMP9",-0.0392702656294064
"238","PDGFB",-0.0387074722015826
"135","IFNW1",-0.0384908512150046
"67","CNTF",-0.0384714458357961
"172","IL2RA",-0.0379387715674454
"180","IL3RA",-0.0338162864086942
"317","WNT7A",-0.0337583492415818
"129","IFNA1; IFNA13",-0.0330109658611805
"154","IL17F",-0.0312628815064432
"56","CD40LG",-0.030949892883424
"294","TNFRSF9",-0.0298182381439672
"34","CCL20",-0.0273501886264918
"194","KLK6",-0.0268675982774696
"176","IL34",-0.0250375500796495
"11","APOE4",-0.0233496215704289
"48","CD200",-0.0213518045956368
"237","PDGFA",-0.0212128053500818
"133","IFNL1",-0.0170992732029069
"13","ARSA",-0.0170936950319087
"303","TNFSF8",-0.016904693322885
"98","ENO2",-0.0159582844650106
"70","CRP",-0.0141175654848869
"9","ANXA5",-0.0139947156403243
"286","TNFRSF14",-0.0138019081617824
"119","GRN",-0.0137796676333215
"262","SLIT2",-0.0136612246066721
"249","RUVBL2",-0.0116642551494656
"153","IL17C",-0.0105117583452709
"290","TNFRSF1B",-0.00860109693624914
"91","CXCL2",-0.00534590859805999
"244","PRDX6",-0.00416212486575005
"221","NCR1",-0.00134303290649111
"288","TNFRSF18",-0.00116680428408232
"160","IL19",-0.00106222058781622
"81","CTSS",-0.000898719390884437
"86","CXCL11",0.00116861707738968
"297","TNFSF12",0.0027785668858794
"80","CTLA4",0.00348201319619565
"211","MME",0.00403622563267081
"298","TNFSF13",0.00427930105652735
"45","CCL5",0.00444970480469324
"181","IL4",0.00554555321736867
"234","PARK7",0.00871718211542998
"127","ICAM1",0.00910530596838205
"229","NRGN",0.0121438928581348
"188","IL7",0.0123585261738533
"228","NPY",0.0125482206780715
"175","IL33",0.013280743408659
"138","IKBKG",0.0176126916415113
"30","CCL16",0.0198107210542174
"282","TNFRSF11A",0.0198220421497231
"233","Oligo-SNCA",0.025758805082414
"242","PGK1",0.0258628830025699
"191","IRAK4",0.0259902733951902
"220","NAMPT",0.0284380945611397
"84","CXCL1",0.0294152526874862
"19","BDNF",0.0299499108688048
"292","TNFRSF4",0.0311470535286243
"269","SQSTM1",0.0318502434338143
"199","LCN2",0.0339920954799291
"245","PSEN1",0.0348622580731048
"299","TNFSF14",0.0402005911486305
"320","pTDP43-409",0.0417665473816609
"186","IL6R",0.0427314279856902
"254","SCG2",0.0438885500455585
"281","TNF",0.0448087344857932
"210","MIF",0.0474262156542924
"72","CSF1R",0.0496138063744472
"319","pSNCA-129",0.050320946601352
"177","IL36A",0.0512144161694933
"17","BACE1",0.0516801059627329
"271","TARDBP",0.0537778026218378
"42","CCL28",0.0556957610449323
"126","HTT",0.056711814663997
"239","PDGFRB",0.0573408411128335
"6","ANGPT1",0.057409673493476
"92","CXCL3",0.0577691524298889
"208","MICA",0.0589493895886378
"31","CCL17",0.0610907443292189
"38","CCL24",0.0620862360989132
"169","IL23",0.0636681218752043
"258","SFRP1",0.0654677818481503
"104","FGF2",0.0712764643925646
"313","VGF",0.0720363779446436
"253","SAA1",0.0743207356518454
"265","SNCA",0.0768787705659128
"65","CHIT1",0.0773260569855393
"128","ICOSLG",0.0774200612166746
"16","Aβ42",0.0777048798973347
"18","BASP1",0.078380242732975
"185","IL6",0.0787089113629273
"79","CTF1",0.0855162932995438
"37","CCL23",0.0865033633738145
"266","SNCB",0.0873875277991577
"192","KDR",0.0874798899398596
"73","CSF2",0.0892840085457103
"29","CCL15",0.0916273557907488
"308","UCHL1",0.0934509121737201
"76","CSF3R",0.0961419307887014
"93","CXCL5",0.100433879252117
"145","IL13",0.104486181526127
"263","SMOC1",0.105776788539261
"279","TIMP3",0.107183209576789
"25","CCL1",0.107726669010235
"90","CXCL16",0.108603360304104
"278","TIMP2",0.111965224121568
"22","C1QA",0.115372126596832
"289","TNFRSF1A",0.120062735407751
"123","HBA1",0.123641836258615
"44","CCL4",0.123971475288826
"95","CXCL8",0.130442397745397
"113","GDF15",0.134045173475047
"261","SLAMF1",0.137258253437373
"59","CD70",0.138597800377929
"111","FTH1",0.141266889252969
"47","CCL8",0.141464001058256
"273","TGFB1",0.155529096687703
"114","GDF2",0.155843477965057
"212","MMP1",0.163042105671879
"157","IL18",0.165881002990636
"99","EPO",0.170873748307142
"183","IL5",0.172017099940907
"23","CALB2",0.179511253276288
"14","Aβ38",0.188049725958753
"243","POSTN",0.198052901325083
"144","IL12p70",0.199766319463098
"55","CD40",0.201656775795763
"43","CCL3",0.201870666921665
"311","VEGFC",0.208257617502112
"205","MAPT",0.211064252992254
"260","SIRPA",0.214573863736791
"121","GZMB",0.220201657410401
"218","MSLN",0.222611679192886
"41","CCL27",0.223540927891969
"103","FGF19",0.224849269314121
"310","VEGFA",0.22723278480593
"222","NEFH",0.228610786261842
"257","SELP",0.229781746216045
"15","Aβ40",0.232433414784376
"277","TIMP1",0.243096021659203
"307","TSLP",0.24533627642483
"214","MMP3",0.247709145570115
"187","IL6ST",0.25376425845061
"96","CXCL9",0.253859692700324
"236","PDCD1LG2",0.254710015851731
"146","IL13RA2",0.261741633498785
"46","CCL7",0.26315097330918
"50","CD27",0.268423189500127
"122","HAVCR1",0.289265619558287
"190","IL9",0.289815751977735
"166","IL2",0.292452130662598
"57","CD46",0.295619171397671
"252","S100B",0.303171098086693
"105","FGF21",0.315273197267124
"52","CD276",0.316791999164842
"316","WNT16",0.323879566941245
"301","TNFSF18",0.334301296629564
"149","IL16",0.33619550966018
"213","MMP12",0.336195988721915
"148","IL15RA",0.368399378241988
"200","LGALS9",0.369127826038754
"202","LILRB2",0.370200901407737
"197","LAG3",0.371078616135734
"143","IL12RB1",0.373185723325544
"322","pTau-217",0.373629016539545
"28","CCL14",0.374298784165846
"63","CEACAM5",0.37557770041912
"68","CNTN2",0.376995804857241
"33","CCL2",0.382442494148532
"198","LAMP3",0.383423672431674
"302","TNFSF4",0.388721250820626
"193","KITLG",0.403169789047262
"225","NPTX1",0.422945037019096
"287","TNFRSF17",0.43359229526951
"283","TNFRSF11B",0.434695952618234
"112","FURIN",0.436005777485902
"323","pTau-231",0.437360104691963
"85","CXCL10",0.439445934725408
"100","FABP3",0.459420676776529
"27","CCL13",0.463379601015848
"284","TNFRSF13B",0.483430003927719
"117","GFAP",0.493354869963272
"259","SFTPD",0.49616406618244
"60","CD80",0.498510873273849
"223","NEFL",0.508121444033169
"64","CHI3L1",0.508319940028037
"162","IL1R1",0.52378263644874
"110","FOLR1",0.525901748783961
"2","ACHE",0.530392943992268
"115","GDI1",0.540312748751677
"241","PGF",0.548020851338275
"232","OSMR",0.555506382157631
"136","IGF1R",0.561999063800785
"305","TREM1",0.572040278843832
"321","pTau-181",0.585138816474722
"304","TNFSF9",0.591004363944186
"184","IL5RA",0.656206750270071
"309","VCAM1",0.668415835600252
"125","HLA-DRA",0.711002609763426
"226","NPTX2",0.724632840263033
"312","VEGFD",0.738024630278159
"108","FLT3LG",0.739965795521924
"137","IGFBP7",0.779272591962856
"306","TREM2",0.833140896354565
"77","CST3",1.1019018847143
"26","CCL11",1.13145169306312
"300","TNFSF15",1.30883005518488
