"","Variable","Importance","StDev"
"1","CCL11",0.584278138799742,0.0923021151074814
"2","CNTN2",0.552669730547328,0.075903760809332
"3","AGRP",0.533417448367883,0.0609595651501932
"4","VEGFD",0.508353366488641,0.074548178454628
"5","GFAP",0.431949415503896,0.0738290943541214
"6","HBA1",0.430541335471427,0.0783976935538337
"7","TREM2",0.415802473468727,0.0742016383640699
"8","IL12p70",0.357222260319529,0.0557748405732311
"9","BMP7",0.347239889382294,0.0495613978843963
"10","HLA-DRA",0.332454558596242,0.0366321388298988
"11","FGF21",0.295578812688278,0.0944697957561245
"12","THPO",0.275623802796571,0.0530506688798602
"13","AGER",0.255917579557718,0.0429453580315622
"14","TNFSF15",0.254434042233706,0.0488228358155197
"15","FGF23",0.253788650481238,0.0274093457662663
"16","VSNL1",0.252054567655458,0.0325426308016136
"17","CCL21",0.245574942709964,0.0671539850837024
"18","IL7R",0.239147879463094,0.0351792568307986
"19","CXCL5",0.238944662043127,0.0529494709882327
"20","IL15RA",0.236571078335546,0.06922809363207
"21","BACE1",0.235035939431576,0.043950519797401
"22","NEFH",0.23500474517037,0.0495723762810326
"23","BST2",0.229196494173523,0.0314939201889664
"24","NEFL",0.223521301327898,0.0597329844200251
"25","S100A12",0.21850755699563,0.073496320714687
"26","KLRK1",0.217054067357988,0.0446772626405027
"27","TAFA5",0.213975718205628,0.0231349319872374
"28","KDR",0.213742631952716,0.0330095275777885
"29","CHI3L1",0.206797169336642,0.0603877268349433
"30","OSMR",0.194614619860217,0.0343184434346504
"31","TNFRSF13B",0.18680874052402,0.0410518970335239
"32","SDC1",0.186448597927968,0.0447067732863735
"33","PDLIM5",0.183995172463283,0.0356458511807574
"34","FTH1",0.181013528820715,0.0317613147725549
"35","CCL22",0.177797848456542,0.0310516723566394
"36","CCL2",0.175378930448372,0.0509571109093786
"37","IL4R",0.17280251234789,0.0508337035532654
"38","NPTXR",0.172226673375479,0.0267109644064022
"39","CD63",0.171985187271902,0.0441822468556286
"40","HAVCR1",0.159305226651713,0.0391538346447191
"41","CST7",0.158200404942515,0.0526356173692818
"42","TNFSF10",0.154264039231231,0.0327878443930362
"43","MAPT",0.153483595962103,0.0233366708811612
"44","IL1R1",0.151889747523775,0.0300723729958704
"45","IL5RA",0.146927413352667,0.0376873090556261
"46","IL24",0.146890703358964,0.0279835243816711
"47","GDNF",0.146466107697606,0.0140454266232388
"48","THBS2",0.141646000922894,0.0316136916133666
"49","KLK6",0.140904944147747,0.0365510267364323
"50","CD274",0.139458878429997,0.0279240861943401
"51","NPTX2",0.138832443611007,0.0344510864308009
"52","VGF",0.13551131598649,0.0267913076910814
"53","YWHAZ",0.130180239038019,0.0285710107956956
"54","C1QA",0.125557286586003,0.0370341386302481
"55","IL1RN",0.125182606524263,0.0297952468272546
"56","CSF3",0.123193236102601,0.0288709642919555
"57","S100A9",0.120691959113825,0.025241505241564
"58","IL33",0.118850586354494,0.0271577122305954
"59","IL17RA",0.118128245509395,0.0249369507113225
"60","IL23",0.118086345262562,0.039303724965685
"61","GOT1",0.117035353794185,0.0304085636076745
"62","CCL26",0.116461639023871,0.0239850199778635
"63","IL1R2",0.113463288370543,0.0359376300220874
"64","FLT3LG",0.112796336804077,0.0492759401491083
"65","IL36B",0.11213832575324,0.0223805558819716
"66","FGF19",0.111087387430615,0.0316374410682095
"67","CCL13",0.109057233843417,0.0338403976460983
"68","AGRN",0.10863302415642,0.0300589674829763
"69","PDGFA",0.10642160726646,0.0313750202761496
"70","VCAM1",0.104418693938176,0.0373574580565547
"71","IL17B",0.101483206617187,0.0341284351822006
"72","TREM1",0.0980799325291755,0.0315445992191668
"73","IFNG",0.0975701704879716,0.0254991567031411
"74","CRH",0.0967251448975746,0.0231817009633004
"75","IL32",0.0924899386327511,0.0376161297258732
"76","IL2",0.0911302141561404,0.0315028077512883
"77","SNAP25",0.0908840905670179,0.0254648705008014
"78","CX3CL1",0.0890757987006021,0.0234558722858843
"79","GDI1",0.0888218803436733,0.0307579124301256
"80","MSLN",0.0883840944303753,0.0353092339980259
"81","FABP3",0.0882721555312838,0.0537505652327341
"82","IL16",0.0875964447379182,0.0445331937217922
"83","IL17A",0.087163526158824,0.0355589297432654
"84","IL10RB",0.0851738266336218,0.0239481934495956
"85","PGF",0.0842162078838843,0.0340966381478062
"86","ICOSLG",0.0842132108888739,0.02572672750925
"87","KITLG",0.0836308617427846,0.0282822281403534
"88","SMOC1",0.08344327663906,0.0334041092310299
"89","ARSA",0.0785585904056139,0.0294743542007217
"90","CD27",0.0774121963376552,0.03313034157113
"91","TNFSF11",0.0772092451200561,0.0420615461470956
"92","CD83",0.0764373832910064,0.021719567296939
"93","CSF3R",0.0764113746726551,0.0271109918302876
"94","IL18R1",0.0752783033363279,0.0106552358464833
"95","CSF2",0.0742191324136023,0.0179382623494956
"96","CSF1",0.0740776550921837,0.0258735513260962
"97","LIF",0.0723818622976435,0.0298985084966988
"98","ANGPT2",0.0711206502488035,0.0158281909329382
"99","IL1RL1",0.0706510428498778,0.0153378970296854
"100","CXCL9",0.0695971449454007,0.0270344081683891
"101","ANXA1",0.0689066601079861,0.0217148012800554
"102","CCL4",0.0678960620744528,0.022971832924694
"103","IFNA2",0.0663580891903298,0.024567743355312
"104","REST",0.0656399703960933,0.0131354288993318
"105","IL2RB",0.0653091204399904,0.0231927774585657
"106","TEK",0.0649379115666513,0.0297560284782841
"107","MME",0.0647524314905838,0.0325690300542992
"108","KNG1",0.0645875384787491,0.0281297049340411
"109","TNFRSF1A",0.0642944846914147,0.0346795614244407
"110","SPP1",0.0638642797488342,0.0136146762893159
"111","GZMB",0.0622690111646054,0.0264142644187435
"112","IFNL1",0.0622634595361218,0.0181487364634425
"113","IRAK4",0.0621954351276786,0.016907300920846
"114","NGF",0.0617767929962055,0.0168213258461524
"115","CXCL6",0.0614465567217061,0.0186570555078568
"116","MUC16",0.0579525955571279,0.0330850753089262
"117","S100B",0.0574177895445562,0.0288759406481446
"118","Aβ40",0.0571665439362082,0.0293395410000996
"119","SELE",0.0571488948981015,0.0244534985408962
"120","IL17A|IL17F",0.0552866187923654,0.0156669915882055
"121","MPO",0.0550689963957596,0.02262703616841
"122","IGFBP7",0.0543211871518879,0.0251721725614427
"123","CD40",0.0539695984789065,0.0359151363635879
"124","CD93",0.052804275537842,0.0133818031362109
"125","MICB",0.0518547861237769,0.0217640149348131
"126","CCL5",0.0515453000416607,0.0116735018811006
"127","IL6",0.0512778412732437,0.0165426219194036
"128","LILRB2",0.051158986388501,0.0358605556772373
"129","IL5",0.050387909514357,0.0144340016541567
"130","CD70",0.0499702179471424,0.0261613906262758
"131","NPTX1",0.0499264999420217,0.00931276954209236
"132","FLT1",0.049722438676574,0.0147701759082443
"133","CSF2RB",0.0488734428471365,0.00938233767259472
"134","IL18",0.0487468213618111,0.0285878799204044
"135","IL12B",0.048718754865765,0.0124756947468317
"136","IL12RB1",0.0486032164232768,0.0285339294700843
"137","FOLR1",0.0476788929852881,0.0282781291555128
"138","CTLA4",0.0474032083001068,0.0180056173824488
"139","OSM",0.0469062548503825,0.0323158882805785
"140","CXCL13",0.045535862876277,0.0233746521098395
"141","NTF3",0.0441983631552453,0.0254918554483542
"142","IL22",0.0422835384284141,0.0123740150197306
"143","CCL20",0.0419237662352009,0.0131387622894568
"144","CCL24",0.041570238766159,0.0131654090262264
"145","IL17C",0.0412170316025301,0.0137252614249731
"146","TLR3",0.0408125414538367,0.0193439021921504
"147","IKBKG",0.0407515799103666,0.0185137886367406
"148","MMP12",0.0402566150934867,0.0171104181778666
"149","SCG2",0.0400240915698592,0.0124007161796535
"150","CLEC4A",0.0391124746105502,0.0140182578854046
"151","PDCD1",0.0390513478060627,0.0126812306386148
"152","IL13",0.0384579583480382,0.0150094279119609
"153","PTX3",0.038415695407133,0.0168298489370812
"154","TNFSF18",0.0380740849131731,0.0347356100897118
"155","GDF15",0.0379862936874342,0.0173558125640383
"156","IFNW1",0.0376943145144485,0.0136754222673861
"157","ICAM1",0.0373895659537857,0.00926272653527921
"158","CCL15",0.0372524539274027,0.0221752543508887
"159","MMP3",0.0369746891731637,0.018057423342136
"160","pTau-231",0.0367968681816706,0.0100530823124847
"161","WNT16",0.035683709292478,0.00954574797905905
