"","Variable","Importance","StDev"
"1","CCL11",0.582929005790071,0.0881950245417767
"2","AGRP",0.538183173525289,0.0706971542036816
"3","VEGFD",0.525250839969256,0.109817113512796
"4","CNTN2",0.482283265447137,0.0790299266480222
"5","HBA1",0.431013231027726,0.0600672926224949
"6","GFAP",0.425471651289049,0.100030289467527
"7","TREM2",0.424598643020218,0.0572632092197492
"8","IL12p70",0.347292958667232,0.034166843277744
"9","FGF21",0.323353305887345,0.0469878838215877
"10","HLA-DRA",0.283754416089586,0.0713791014573527
"11","THPO",0.272351484536427,0.0473808486946414
"12","AGER",0.269217584195795,0.0698938414204768
"13","BMP7",0.261872415688685,0.0585671862112152
"14","TNFSF15",0.261059355873947,0.0666441614950887
"15","BST2",0.253748419829701,0.0840115386830671
"16","S100A12",0.248266346058672,0.0675360390158151
"17","NEFL",0.237291286691739,0.0400507772528797
"18","FGF23",0.231003634219481,0.0359919788820133
"19","BACE1",0.228425469612789,0.0565971480997487
"20","CXCL5",0.224326400833268,0.0269703269661925
"21","IL7R",0.220294155161917,0.0585857825234134
"22","CCL21",0.214308718868577,0.0389702492004119
"23","TAFA5",0.209422939163256,0.0366062364888593
"24","KLRK1",0.202674347248877,0.0634337913981402
"25","CHI3L1",0.199914964955937,0.0467392281803296
"26","IL15RA",0.193700035018531,0.0437676265725405
"27","IL4R",0.191686087003701,0.0432364210735794
"28","VSNL1",0.186433908677092,0.0308320560860262
"29","PDLIM5",0.180561569675752,0.0378681260772146
"30","NEFH",0.180263638382037,0.0769436856094117
"31","IL5RA",0.179606160846643,0.0239708309501471
"32","KDR",0.179157070367176,0.0297976812575858
"33","CCL22",0.17390725700081,0.0512750314085756
"34","TNFRSF13B",0.170899317602185,0.040431588712026
"35","SDC1",0.170791827342986,0.0401366269540823
"36","FTH1",0.165663727894395,0.036298891250207
"37","TNFSF10",0.162641979735507,0.0463370934470492
"38","CD63",0.16150431285429,0.0554799253031705
"39","CCL2",0.161341629425855,0.0409982166718916
"40","CST7",0.153360646699386,0.034176281378494
"41","OSMR",0.153234137402869,0.0645459966694901
"42","NPTXR",0.153136738509352,0.0399102637668564
"43","CD274",0.148250053199223,0.0324834630604407
"44","THBS2",0.146076599338924,0.0240370720316814
"45","KLK6",0.144711645168735,0.0232756813984835
"46","IL1R1",0.144032395171974,0.036114200297658
"47","HAVCR1",0.139664158431345,0.0557762420550691
"48","IL33",0.135730533451135,0.0262969620208496
"49","GOT1",0.135515140854437,0.0339874718541887
"50","CSF3",0.12648074022901,0.0400613693679728
"51","IL24",0.126047026636773,0.0541190594395612
"52","NPTX2",0.125840854062258,0.0293310391123684
"53","CCL26",0.125716845516332,0.0321618298863849
"54","FLT3LG",0.124698282836898,0.027972082524876
"55","MAPT",0.120386200428665,0.0310935187049917
"56","CRH",0.119580198224052,0.0333618249485249
"57","S100A9",0.117445311580466,0.0273385822260825
"58","PDGFA",0.115507415528495,0.0305490896431977
"59","IL36B",0.111504142633381,0.0212231742602204
"60","IL1R2",0.108553240163147,0.0320125746708886
"61","GDNF",0.107877837029374,0.028100904863904
"62","YWHAZ",0.107568593757075,0.0318530114721643
"63","VGF",0.1075091871569,0.0315735356413083
"64","CCL13",0.103942774708711,0.0431631434224614
"65","VCAM1",0.103346654270748,0.0435931065313903
"66","AGRN",0.102093309964057,0.0260450434062185
"67","SNAP25",0.101017817938001,0.037966886791809
"68","IL18R1",0.0997079257686362,0.0160960566750643
"69","IL17RA",0.0995843433359713,0.0302965722247123
"70","PGF",0.0964478744475884,0.0359470604015414
"71","C1QA",0.0961549330206621,0.025513619859595
"72","IL2",0.0954398406974752,0.0240109476098289
"73","FABP3",0.094478435509053,0.0436827388861707
"74","CX3CL1",0.0936541127018531,0.0224427114881906
"75","SMOC1",0.092626620959053,0.0342523603301755
"76","TREM1",0.0910027964706184,0.0462295772075495
"77","IFNG",0.0887308071597094,0.0286950829366966
"78","TNFSF11",0.0880019263051571,0.0341311818973069
