"","name","coefficient"
"1","(Intercept)",-4.53389234294192
"43","CX3CL1",-3.32310819145474
"4","AGRP",-3.16285674240496
"11","BMP7",-2.35920273612285
"116","KLRK1",-2.28893661368569
"107","IL4R",-2.11785863200554
"20","CCL21",-1.89775823151329
"169","THPO",-1.85987347967583
"9","BACE1",-1.8510947248506
"111","IL7R",-1.84193740365195
"79","IL10RB",-1.70893511477162
"29","CD63",-1.5700840732207
"156","SDC1",-1.49036102197821
"91","IL18R1",-1.40417649420046
"179","TNFRSF8",-1.36037610050471
"194","VSNL1",-1.26144643874866
"181","TNFSF11",-1.26060349006701
"94","IL1R2",-1.23688449508323
"12","BST2",-1.23401678605386
"42","CST7",-1.18166082770827
"140","NPTXR",-1.16682839998005
"180","TNFSF10",-1.11402168776006
"21","CCL22",-1.11018614780939
"95","IL1RL1",-1.06059026849754
"3","AGRN",-1.03863738401722
"2","AGER",-1.03618052906856
"59","FGF23",-1.01659547322774
"152","REST",-1.00465154835666
"137","NGF",-0.995570960153467
"122","MAPT",-0.951848460685932
"197","YWHAZ",-0.947847165214887
"154","S100A9",-0.93005390298888
"6","APOE",-0.841256248128004
"96","IL1RN",-0.821838677381003
"151","PTX3",-0.774683813676257
"27","CD274",-0.757043832035909
"157","SELE",-0.756304025808069
"191","VEGFC",-0.746206793284775
"168","THBS2",-0.714689214966282
"40","CSF2RB",-0.671438411578201
"28","CD3E",-0.659608600870191
"144","PDCD1",-0.649633514595859
"66","GDNF",-0.619383614039418
"115","KLK6",-0.618713340299589
"164","SQSTM1",-0.593242937732354
"87","IL17B",-0.586383957630766
"163","SPP1",-0.577938222226778
"132","MUC16",-0.511502299637756
"50","CXCL6",-0.509745718100854
"172","TNF",-0.502037720859566
"102","IL33",-0.481664233284234
"92","IL1B",-0.458317705343519
"47","CXCL13",-0.455897496602658
"23","CCL25",-0.436025933138832
"123","MDH1",-0.42047904246779
"150","PTN",-0.398877034511605
"124","MICB",-0.370412574136169
"74","IFNG",-0.366950076583981
"147","PDLIM5",-0.35204078417472
