"","name","coefficient"
"1","(Intercept)",-22.4134004474233
"20","BMP7",-2.32525933018707
"5","AGRP",-2.23669408193708
"82","CX3CL1",-2.07589565430995
"195","KLRK1",-2.03650205817137
"276","THPO",-1.98595740705942
"182","IL4R",-1.88774752153105
"255","SDC1",-1.68418013788482
"272","TEK",-1.6229917988233
"35","CCL21",-1.59048749721371
"58","CD63",-1.50670205793366
"314","VSNL1",-1.29733072010795
"227","NPTXR",-1.1486612434214
"3","AGER",-1.13409657518916
"275","THBS2",-1.1262432626647
"51","CD274",-1.1207184215032
"36","CCL22",-1.10402076706692
"101","FASLG",-1.08149544969141
"159","IL18R1",-1.05088345221931
"189","IL7R",-1.029266448229
"296","TNFSF11",-0.9594488395508
"78","CST7",-0.897148177507734
"4","AGRN",-0.840365778744555
"147","IL15",-0.818838692766394
"295","TNFSF10",-0.818716433390919
"39","CCL25",-0.814683545757141
"10","APOE",-0.813320702896739
"21","BST2",-0.809846071770902
"155","IL17RA",-0.796863041321079
"224","NGF",-0.751658153458768
"163","IL1R2",-0.74556985718195
"248","REST",-0.740484133221451
"293","TNFRSF8",-0.733758958923593
"17","BACE1",-0.695127754092779
"69","CRH",-0.694716775122901
"196","KNG1",-0.679053774727855
"120","GZMA",-0.663355743844861
"219","MUC16",-0.662755017432893
"285","TNFRSF13C",-0.660699716246163
"209","MICB",-0.626863720496219
"164","IL1RL1",-0.596120081997739
"106","FGF23",-0.580334293475222
"74","CSF2RB",-0.543525561237183
"54","CD4",-0.540231813854483
"251","S100A9",-0.538677671614554
"318","YWHAZ",-0.531088887889293
"140","IL10RB",-0.500016395830395
"118","GOT1",-0.497323751417474
"194","KLK6",-0.491689736170421
"270","TAFA5",-0.477498086670686
"152","IL17B",-0.47524314598137
"175","IL33",-0.473654424026354
"94","CXCL6",-0.460711703492906
"66","CLEC4A",-0.447181856345089
"267","SOD1",-0.444138511821501
"168","IL22",-0.437645375083644
"102","FCN2",-0.430655159622871
"256","SELE",-0.427878544568399
"89","CXCL14",-0.427601434895379
"240","PDLIM5",-0.424234212637773
"75","CSF3",-0.411572440638513
"286","TNFRSF14",-0.410611299787694
"61","CD83",-0.408787214480362
"7","ANGPT2",-0.394146013609756
"34","CCL20",-0.390835448285968
"235","PDCD1",-0.388696046106843
"99","EPO",-0.374226557731865
"30","CCL16",-0.367285280586065
"32","CCL19",-0.363305837149365
"264","SNAP25",-0.343927352762463
"88","CXCL13",-0.340003316471025
"136","IGF1R",-0.338674265240562
"116","GDNF",-0.337662863064028
"8","ANXA1",-0.330192319595714
"269","SQSTM1",-0.321451912605988
"53","CD3E",-0.318618719146479
"128","ICOSLG",-0.312604805406123
"237","PDGFA",-0.311098904338563
"71","CSF1",-0.305106494190767
"310","VEGFA",-0.301185933891995
"83","CXADR",-0.292052325780524
"72","CSF1R",-0.290383559969825
"178","IL36B",-0.289524239081979
"40","CCL26",-0.287589981186799
"98","ENO2",-0.281430689292858
"231","OSM",-0.277362228622342
"311","VEGFC",-0.270010903247213
"246","PTN",-0.262689994184655
"250","S100A12",-0.251426638132614
"205","MAPT",-0.251035917694003
"130","IFNA2",-0.248975196868767
"288","TNFRSF18",-0.238470133344422
"23","CALB2",-0.237268951219084
"9","ANXA5",-0.230531536799892
"171","IL27",-0.227197601717078
"70","CRP",-0.22277814781515
"170","IL24",-0.221706542719432
"281","TNF",-0.217123396341012
"86","CXCL11",-0.216927620145907
"161","IL1B",-0.212510298955303
"95","CXCL8",-0.195112456056834
"56","CD40LG",-0.190833729005642
"206","MDH1",-0.187941751949185
"150","IL17A",-0.181326641062281
"47","CCL8",-0.181272801181538
"239","PDGFRB",-0.176016323945899
"186","IL6R",-0.171086074271597
"290","TNFRSF1B",-0.168247275647194
"203","LTA",-0.160652758276312
"132","IFNG",-0.155643596423059
"268","SPP1",-0.152482661420523
"139","IL10",-0.140857126507099
"245","PSEN1",-0.135741061734451
"49","CD200R1",-0.134587438427432
"133","IFNL1",-0.126177214678872
"249","RUVBL2",-0.124209098555145
"174","IL32",-0.116068833960019
"153","IL17C",-0.115399951586169
"230","NTF3",-0.115050784322176
"79","CTF1",-0.102481917820835
"165","IL1RN",-0.101437691635451
"158","IL18BP",-0.100658828774078
"179","IL36G",-0.100596788323863
"91","CXCL2",-0.0991267375589889
"110","FOLR1",-0.0964729326032978
"52","CD276",-0.0958478931789671
"238","PDGFB",-0.0888612148872981
"151","IL17A|IL17F",-0.0851984002493891
"84","CXCL1",-0.0837766968772654
"254","SCG2",-0.0816226049402561
"303","TNFSF8",-0.0808493631173454
"45","CCL5",-0.0755197140429992
"11","APOE4",-0.0749540889028415
"217","MPO",-0.0744529069073225
"141","IL11",-0.070871712568329
"24","CALCA",-0.0670671106134409
"156","IL17RB",-0.0653544734090381
"291","TNFRSF21",-0.0649855597990194
"207","MERTK",-0.0619322526148828
"12","AREG",-0.0556993852568118
"215","MMP8",-0.0519121487808775
"76","CSF3R",-0.0445809045596353
"261","SLAMF1",-0.0444673926589093
"299","TNFSF14",-0.0424940786121643
"188","IL7",-0.0413498223183683
"19","BDNF",-0.0404269719862944
"97","EGF",-0.0390625882574127
"247","PTX3",-0.0301171680508568
"319","pSNCA-129",-0.0244302744470379
"315","VSTM1",-0.0238993293912725
"48","CD200",-0.0222770179848301
"131","IFNB1",-0.0219785266090298
"15","Aβ40",-0.0206063170982317
"80","CTLA4",-0.0165425389852817
"229","NRGN",-0.0148722242460342
"220","NAMPT",-0.0122059406757595
"73","CSF2",-0.0096626969816024
"274","TGFB3",-0.0071605710792753
"265","SNCA",-0.00685118393775473
"31","CCL17",-0.00332284613075265
"62","CD93",-0.00193854655289928
"154","IL17F",-1.13717070202987e-05
"14","Aβ38",0.00185407548689156
"87","CXCL12",0.00618175379991329
"13","ARSA",0.0108947025498138
"185","IL6",0.0137812065689031
"282","TNFRSF11A",0.0197800714809174
"307","TSLP",0.0205964947827677
"134","IFNL2; IFNL3",0.0330345033893501
"81","CTSS",0.0353647831455132
"208","MICA",0.0362345478564726
"294","TNFRSF9",0.0364014628319328
"16","Aβ42",0.0537581704346492
"126","HTT",0.0543451025796463
"181","IL4",0.0580667717349009
"233","Oligo-SNCA",0.0588210481658456
"204","LTA|LTB",0.0621810626725303
"177","IL36A",0.0648898786626144
"160","IL19",0.0675611485832718
"280","TLR3",0.0698542694866403
"169","IL23",0.0706040769285196
"46","CCL7",0.073151829727919
"129","IFNA1; IFNA13",0.0806270151009318
"172","IL2RA",0.0833262379241613
"167","IL20",0.085969829572267
"228","NPY",0.0879427607567372
"33","CCL2",0.09274145256366
"253","SAA1",0.0976860725892498
"90","CXCL16",0.10048728020659
"313","VGF",0.103652051315758
"65","CHIT1",0.105220583323753
"242","PGK1",0.105302283856054
"320","pTDP43-409",0.10700852826073
"113","GDF15",0.1075839638113
"308","UCHL1",0.108180597779523
"142","IL12B",0.109035685280638
"323","pTau-231",0.110545263402705
"6","ANGPT1",0.114169798805405
"201","LIF",0.11439089256444
"55","CD40",0.137693428812962
"234","PARK7",0.1416797344681
"271","TARDBP",0.144521187210774
"180","IL3RA",0.144716951643897
"92","CXCL3",0.145930638357301
"124","HGF",0.146641004789227
"258","SFRP1",0.146977867226451
"216","MMP9",0.149303692262864
"176","IL34",0.149469311882067
"28","CCL14",0.150430087681597
"297","TNFSF12",0.153473107508286
"109","FLT4",0.175500096582514
"38","CCL24",0.176354982557963
"104","FGF2",0.177658078560188
"43","CCL3",0.185128746359015
"121","GZMB",0.186551182571194
"18","BASP1",0.194044789955021
"262","SLIT2",0.200183597670581
"145","IL13",0.201136302002785
"191","IRAK4",0.206797431713202
"279","TIMP3",0.20878468279754
"67","CNTF",0.216222771661395
"123","HBA1",0.217336219099467
"59","CD70",0.221114241395281
"211","MME",0.225631577675127
"266","SNCB",0.226153126256588
"107","FLT1",0.226585729675704
"260","SIRPA",0.237551865500501
"50","CD27",0.241320211152089
"37","CCL23",0.242875620685422
"187","IL6ST",0.254502094869408
"135","IFNW1",0.256544704931146
"322","pTau-217",0.256855238472005
"173","IL2RB",0.268436706807345
"298","TNFSF13",0.272529221052973
"138","IKBKG",0.28372678851286
"93","CXCL5",0.292870118306977
"289","TNFRSF1A",0.29342893187621
"29","CCL15",0.299386325482206
"278","TIMP2",0.302511941279971
"214","MMP3",0.303633295978309
"277","TIMP1",0.310380339189379
"25","CCL1",0.33746721540436
"157","IL18",0.341594096632256
"127","ICAM1",0.348992721174836
"304","TNFSF9",0.353343594230195
"244","PRDX6",0.354273971057911
"114","GDF2",0.363227924728698
"317","WNT7A",0.364295661701645
"301","TNFSF18",0.3674768582445
"210","MIF",0.369047289118055
"243","POSTN",0.375933000029633
"222","NEFH",0.379856587232815
"119","GRN",0.379861523425276
"42","CCL28",0.380430811899
"259","SFTPD",0.383507310155783
"63","CEACAM5",0.395130971393214
"263","SMOC1",0.403225010131549
"283","TNFRSF11B",0.407748936533681
"111","FTH1",0.409275503542528
"44","CCL4",0.420998786724528
"183","IL5",0.432107290172511
"218","MSLN",0.444767471749314
"292","TNFRSF4",0.470512236087781
"27","CCL13",0.471651972706407
"212","MMP1",0.480415833031459
"221","NCR1",0.50505038451887
"96","CXCL9",0.512420214958185
"252","S100B",0.521397361078159
"122","HAVCR1",0.52790214562353
"146","IL13RA2",0.531856837855716
"105","FGF21",0.534480892074356
"144","IL12p70",0.578500091594671
"190","IL9",0.584264456274072
"103","FGF19",0.585592533153149
"287","TNFRSF17",0.585842185273908
"321","pTau-181",0.606338414078366
"22","C1QA",0.609976039252608
"100","FABP3",0.625441359261083
"41","CCL27",0.64218364475444
"192","KDR",0.647419945491994
"200","LGALS9",0.652440623321556
"199","LCN2",0.658547982966427
"202","LILRB2",0.675788017024407
"316","WNT16",0.676015384200835
