"","name","coefficient"
"20","BMP7",-2.98111214124804
"5","AGRP",-2.4730223461016
"82","CX3CL1",-2.46350132936148
"195","KLRK1",-2.29514270862557
"182","IL4R",-2.23114198425005
"227","NPTXR",-1.99500371647996
"276","THPO",-1.95552410576135
"35","CCL21",-1.610277699894
"159","IL18R1",-1.5670077110993
"295","TNFSF10",-1.41548062682243
"189","IL7R",-1.36433040110716
"4","AGRN",-1.34728153109284
"293","TNFRSF8",-1.32097354858734
"118","GOT1",-1.27551542843938
"147","IL15",-1.26907757961507
"272","TEK",-1.23625285000201
"314","VSNL1",-1.23339614955915
"255","SDC1",-1.20124484319036
"21","BST2",-1.15326830921017
"194","KLK6",-1.13554064363194
"152","IL17B",-1.04089679769749
"296","TNFSF11",-1.04036648322733
"275","THBS2",-1.03143883043642
"102","FCN2",-1.02835655390483
"74","CSF2RB",-0.962507682421899
"51","CD274",-0.938400675656663
"40","CCL26",-0.927783815575987
"128","ICOSLG",-0.922434903050795
"285","TNFRSF13C",-0.907228115733941
"17","BACE1",-0.902877664601149
"224","NGF",-0.891950950829958
"90","CXCL16",-0.861846416268917
"10","APOE",-0.836806843528255
"88","CXCL13",-0.796003683250527
"58","CD63",-0.790506808304022
"288","TNFRSF18",-0.790122097527958
"36","CCL22",-0.775411360877329
"219","MUC16",-0.774624717725629
"53","CD3E",-0.774125299093931
"318","YWHAZ",-0.773995737631681
"140","IL10RB",-0.755289520029308
"248","REST",-0.719235613520063
"106","FGF23",-0.702148556351763
"164","IL1RL1",-0.695350191700527
"3","AGER",-0.693296901335374
"78","CST7",-0.676400502664245
"205","MAPT",-0.653259673411882
"175","IL33",-0.652496014286571
"269","SQSTM1",-0.648263456231961
"261","SLAMF1",-0.633823503097471
"66","CLEC4A",-0.61148777595685
"69","CRH",-0.600266589710835
"251","S100A9",-0.576353677063031
"256","SELE",-0.567850181705773
"203","LTA",-0.565651266329663
"268","SPP1",-0.548027565916576
"206","MDH1",-0.543411181955824
"39","CCL25",-0.54038630322227
"163","IL1R2",-0.489352755728388
"186","IL6R",-0.487889968607593
"61","CD83",-0.483228202178757
"217","MPO",-0.46943592218306
"280","TLR3",-0.46312050536146
"132","IFNG",-0.45609837617709
"101","FASLG",-0.447336114708996
"71","CSF1",-0.439677544717462
"270","TAFA5",-0.439212404235043
"98","ENO2",-0.436453450871007
"237","PDGFA",-0.428544627882255
"235","PDCD1",-0.41161085477227
"240","PDLIM5",-0.409576519139861
"165","IL1RN",-0.4008788094124
"155","IL17RA",-0.400088721894224
"311","VEGFC",-0.393610976821697
"150","IL17A",-0.388826533266162
"267","SOD1",-0.387363635568687
"323","pTau-231",-0.383703385508317
"250","S100A12",-0.370833318730099
"179","IL36G",-0.359647149483297
"290","TNFRSF1B",-0.353746851571246
"32","CCL19",-0.348056212570547
"181","IL4",-0.326379437810852
"89","CXCL14",-0.321275487545026
"286","TNFRSF14",-0.319903390350839
"49","CD200R1",-0.318800017036584
"247","PTX3",-0.307426321992243
"47","CCL8",-0.300179106359266
"158","IL18BP",-0.29942310891981
"168","IL22",-0.289510036254328
"231","OSM",-0.288402215910504
"174","IL32",-0.272566293076801
"254","SCG2",-0.266937071186992
"322","pTau-217",-0.257436749190724
"245","PSEN1",-0.25424780479192
"83","CXADR",-0.253372060304943
"8","ANXA1",-0.252652377020034
"139","IL10",-0.252348535931497
"201","LIF",-0.248487733147764
"12","AREG",-0.247052195690069
"178","IL36B",-0.243387191509263
"246","PTN",-0.241209937762612
"109","FLT4",-0.241188602497729
"70","CRP",-0.237736863650122
"14","Aβ38",-0.226553318352725
"171","IL27",-0.223277643749532
"278","TIMP2",-0.218686672114411
"230","NTF3",-0.211484501192811
"281","TNF",-0.206051928295761
"133","IFNL1",-0.204378891115012
"170","IL24",-0.20388656707974
"116","GDNF",-0.197130922041773
"153","IL17C",-0.180607780166936
"315","VSTM1",-0.177779175333765
"129","IFNA1; IFNA13",-0.177641074113095
"196","KNG1",-0.17655604533609
"9","ANXA5",-0.166605967703841
"56","CD40LG",-0.16655312021042
"19","BDNF",-0.166451686837497
"62","CD93",-0.164070962846962
"34","CCL20",-0.158594945569972
"107","FLT1",-0.151906787642182
"209","MICB",-0.145364493928902
"31","CCL17",-0.145076408643014
"94","CXCL6",-0.143066169378314
"299","TNFSF14",-0.13619281053258
"161","IL1B",-0.122685940469197
"308","UCHL1",-0.115987246543982
"79","CTF1",-0.110876841655534
"91","CXCL2",-0.10745607034376
"151","IL17A|IL17F",-0.106024219899613
"86","CXCL11",-0.102732222379272
"120","GZMA",-0.0926761089657933
"95","CXCL8",-0.0916348704460989
"45","CCL5",-0.0864580914841772
"185","IL6",-0.0792101943281107
"80","CTLA4",-0.0762507483717403
"11","APOE4",-0.0737676201411881
"313","VGF",-0.0711860367569968
"265","SNCA",-0.0700122285155569
"238","PDGFB",-0.0648159828203158
"127","ICAM1",-0.0611907315766522
"233","Oligo-SNCA",-0.0608017151380931
"6","ANGPT1",-0.0604439574323027
"136","IGF1R",-0.0570114083729433
"113","GDF15",-0.0561350833295664
"303","TNFSF8",-0.0545711091052499
"310","VEGFA",-0.0529694214853365
"130","IFNA2",-0.0518807836282153
"154","IL17F",-0.046595488440784
"289","TNFRSF1A",-0.0419999076648555
"243","POSTN",-0.0411596540425647
"134","IFNL2; IFNL3",-0.0403118588276554
"249","RUVBL2",-0.0397656397875055
"48","CD200",-0.0370522684372196
"87","CXCL12",-0.0271885150540168
"24","CALCA",-0.0241941774128381
"99","EPO",-0.0176701700844409
"131","IFNB1",-0.0173858682112699
"145","IL13",-0.0154958825084446
"177","IL36A",-0.012813381933346
"142","IL12B",-0.00514361188995632
"7","ANGPT2",-0.000786280965007294
"167","IL20",0.00653067154887846
"141","IL11",0.0087496296162385
"30","CCL16",0.0104991009821267
"242","PGK1",0.0120027216817012
"291","TNFRSF21",0.0131368541717703
"81","CTSS",0.0180046350287472
"65","CHIT1",0.0184052892598307
"258","SFRP1",0.0191519029838796
"18","BASP1",0.0310621259384172
"216","MMP9",0.0348893719103874
"229","NRGN",0.038528258911798
"23","CALB2",0.0422349581427205
"234","PARK7",0.0430868397811621
"294","TNFRSF9",0.0523175772970251
"43","CCL3",0.0540630272046453
"208","MICA",0.0553524391893787
"84","CXCL1",0.0566211000683057
"97","EGF",0.0569129284583377
"319","pSNCA-129",0.0583688302267671
"274","TGFB3",0.0636929883315446
"160","IL19",0.0674197488094451
"212","MMP1",0.0710189732008473
"282","TNFRSF11A",0.0734892666161506
"38","CCL24",0.0950319250320744
"92","CXCL3",0.0959644514071308
"191","IRAK4",0.0968757941068812
"307","TSLP",0.101170538837149
"260","SIRPA",0.110760620076601
"169","IL23",0.116731484004832
"215","MMP8",0.119377812196504
"302","TNFSF4",0.128973211918549
"253","SAA1",0.131001412275143
"72","CSF1R",0.139168462492542
"188","IL7",0.143578557376919
"220","NAMPT",0.147434362038775
"15","Aβ40",0.150506893565531
"204","LTA|LTB",0.153134188082231
"75","CSF3",0.153862710838372
"46","CCL7",0.170480897088412
"176","IL34",0.17118235410745
"93","CXCL5",0.171974183073971
"271","TARDBP",0.172387542001447
"44","CCL4",0.177316421276518
"173","IL2RB",0.187696020254652
"239","PDGFRB",0.189001242149426
"257","SELP",0.19744759050201
"104","FGF2",0.205359402807847
"110","FOLR1",0.209435619313847
"211","MME",0.215804056429424
"67","CNTF",0.226489300769424
"277","TIMP1",0.22977533185213
"13","ARSA",0.236796768234593
"135","IFNW1",0.246444045791794
"321","pTau-181",0.246467047417966
