"","name","coefficient"
"42","CX3CL1",-4.26209729887541
"5","AGRP",-3.51398795861266
"11","BMP7",-3.43200763458238
"106","KLRK1",-2.7520890832215
"98","IL4R",-2.62900387671945
"127","NPTXR",-2.53358077152612
"19","CCL21",-2.41006791144715
"84","IL18R1",-2.38978632799599
"157","TNFRSF8",-2.38448381810675
"149","THPO",-2.23106089392917
"12","BST2",-1.7993335117925
"101","IL7R",-1.75701655105897
"60","GOT1",-1.74655903823143
"4","AGRN",-1.72026949794262
"158","TNFSF10",-1.67901407743213
"159","TNFSF11",-1.5668256191792
"145","SQSTM1",-1.13054129626196
"148","THBS2",-1.12637358016808
"52","FGF23",-1.12034156512884
"24","CCL26",-1.10466832390399
"79","IL17B",-1.09520876553637
"167","VSNL1",-1.07425320494424
"111","MAPT",-1.06389462646427
"72","IL10RB",-1.02158006991477
"140","SDC1",-1.01686270050509
"38","CSF2RB",-1.0123014107903
"65","ICOSLG",-1.00498237228514
"20","CCL22",-1.00090117053975
"75","IL15",-0.943076212515522
"119","MUC16",-0.850501393008272
"41","CST7",-0.844792570492939
"27","CD3E",-0.80373121803404
"48","FCN2",-0.772181654163675
"87","IL1RL1",-0.758507287318282
"88","IL1RN",-0.73806267183882
"144","SPP1",-0.729477593204604
"105","KLK6",-0.71915390752182
"137","REST",-0.648988239786335
"138","S100A12",-0.585538254287546
"7","APOE",-0.581314843597647
"146","TAFA5",-0.570161032008181
"67","IFNG",-0.547022768393945
"170","YWHAZ",-0.543049562857202
"153","TNFRSF13C",-0.493441301981849
"135","PDLIM5",-0.460648284110888
"23","CCL25",-0.446160923393227
"78","IL17A",-0.425766244655007
"33","CLEC4A",-0.423701351895393
"139","S100A9",-0.421766394806903
"44","CXCL13",-0.421081903934893
"3","AGER",-0.366457389025018
"124","NGF",-0.35373022735099
"151","TLR3",-0.270267199928862
"45","CXCL16",-0.260131100858593
"112","MDH1",-0.257215696316521
"141","SELE",-0.256851633088035
"95","IL33",-0.254955498557404
"30","CD83",-0.253911805049217
"36","CRH",-0.22303506540414
"90","IL22",-0.206969398922634
"132","PDCD1",-0.174822489743998
"155","TNFRSF18",-0.16225601946079
"117","MPO",-0.149482123362987
"96","IL36G",-0.145760461998933
"85","IL1B",-0.136727033669833
"58","GDNF",-0.135462126367658
"94","IL32",-0.133348649234887
"156","TNFRSF1B",-0.131956023899347
"37","CSF1",-0.111019031033034
"130","NTF3",-0.10337476301002
"91","IL24",-0.102961563170366
"10","BDNF",-0.0942275845043426
"92","IL27",-0.0885277826865666
"6","ANXA1",-0.0818061600054217
"71","IL10",-0.0741587861920455
"80","IL17C",-0.071553878076047
"97","IL4",-0.0478049261718722
"8","APOE4",-0.0424001778817058
"28","CD63",-0.025183803934585
"66","IFNA1; IFNA13",-0.0231315937747208
"46","CXCL8",-0.0156401502130259
