"","Feature","Gain","Cover","Frequency"
"1","GFAP",0.4051490836369,0.192097481623376,0.108860759493671
"2","NEFL",0.218409666287309,0.124383328392359,0.0573839662447257
"3","FABP3",0.162885863327763,0.113832447758698,0.0784810126582278
"4","CCL11",0.0555903628395897,0.0905946652679908,0.0708860759493671
"5","AGRP",0.0294225285979152,0.065654146997788,0.0691983122362869
"6","CHI3L1",0.0220156489739719,0.0211929792555092,0.0345991561181435
"7","CHIT1",0.0152047225116003,0.0429180634421108,0.0472573839662447
"8","CCL3",0.00901302352782557,0.01963467195731,0.0177215189873418
"9","Aβ40",0.00725130755489572,0.0192317925094829,0.020253164556962
"10","IL5",0.0063574545489548,0.0280951403616793,0.0379746835443038
"11","THPO",0.00589830688590603,0.00779913799001163,0.0160337552742616
"12","POSTN",0.00557678008005186,0.0230553465143326,0.0354430379746835
"13","S100A9",0.00503503468996892,0.0150205620548372,0.0168776371308017
"14","KDR",0.004672409687409,0.0233290004788944,0.0270042194092827
"15","OSMR",0.00436472528080461,0.0106497001208638,0.020253164556962
"16","FCN2",0.00410572514488174,0.011957157951548,0.0109704641350211
"17","FASLG",0.0034023778187632,0.00500178635226867,0.0118143459915612
"18","HBA1",0.00263010799576216,0.00815640844374511,0.00843881856540084
"19","TNFRSF13C",0.00240077440979994,0.0104368581484269,0.0135021097046414
"20","IL17A",0.00230697629561462,0.00658289814751469,0.0143459915611814
"21","IL22",0.00226449970190633,0.00567071826564198,0.0118143459915612
"22","TIMP2",0.00206151630871283,0.0101099936907558,0.0118143459915612
"23","CRH",0.00197487031941931,0.00803478445949541,0.0160337552742616
"24","CCL27",0.00174593302802813,0.00960829475572583,0.0135021097046414
"25","IGFBP7",0.00151188588197477,0.0105812866297234,0.0126582278481013
"26","HAVCR1",0.00133020159229668,0.00332945656883537,0.00843881856540084
"27","CD40",0.00132076719121416,0.00221203621354131,0.00590717299578059
"28","TNFRSF8",0.00126406747775355,0.00583795124398531,0.00843881856540084
"29","MMP1",0.00119650248429021,0.0050473953463623,0.00506329113924051
"30","FTH1",0.00114735778953697,0.00424163645070808,0.00506329113924051
"31","IL7R",0.000996771558389015,0.00170273577949572,0.00337552742616034
"32","CD200R1",0.000987114677512389,0.00597477822626622,0.0135021097046414
"33","TNFRSF18",0.000939296072437033,0.00454569641133231,0.0109704641350211
"34","SDC1",0.000825922975628529,0.00319262958655447,0.00421940928270042
"35","FOLR1",0.000796812539713992,0.0082704309289792,0.0135021097046414
"36","ANXA1",0.000763497829678684,0.0014290818149339,0.00337552742616034
"37","SELE",0.000754991093296727,0.00744946903529376,0.0118143459915612
"38","IL1RN",0.000593762173382493,0.0080195814614642,0.0135021097046414
"39","IL15RA",0.000585519930560834,0.00304059960624235,0.00421940928270042
"40","CSF2",0.000447916584674258,0.00267572765349327,0.00337552742616034
"41","IL5RA",0.000383364539173712,0.00189277325488586,0.00253164556962025
"42","TNFSF18",0.000340561068334602,0.00380074950780294,0.00843881856540084
"43","IL10",0.000339008722824306,0.00152029980312118,0.00337552742616034
"44","LIF",0.000333338171978021,0.00247048718007191,0.00421940928270042
"45","CD80",0.000316360483352903,0.00535145530698654,0.0135021097046414
"46","IL6R",0.000304097797997366,0.00358790753536597,0.00590717299578059
"47","CTSS",0.000301633885634053,0.0014214803159183,0.00337552742616034
"48","SPP1",0.000267976371498644,0.00127705183462179,0.00168776371308017
"49","IL23",0.000257609573130392,0.000957788875966341,0.00253164556962025
"50","CCL14",0.000237507119002583,0.00139867581887148,0.00337552742616034
"51","MMP3",0.000198891282083918,0.00133786382674663,0.00168776371308017
"52","BASP1",0.000181960492114699,0.00224244220960373,0.00421940928270042
"53","TNFRSF17",0.000178731701678477,0.00418082445858323,0.00928270042194093
"54","GZMB",0.000163094026524268,0.00313941909344523,0.00590717299578059
"55","NPTXR",0.000125393461916779,0.000630924418295288,0.000843881856540084
"56","IL17RB",0.000104289189348276,0.00159631479327723,0.00253164556962025
"57","FGF23",0.000102572713401308,0.0003876764497959,0.000843881856540084
"58","CD3E",9.60375816544158e-05,0.000972991873997552,0.00168776371308017
"59","MME",8.26253740240015e-05,0.00190037475390147,0.00421940928270042
"60","TNFSF4",6.92235138158455e-05,0.00152029980312118,0.00337552742616034
"61","IL36A",6.84077056600009e-05,0.000456089940936353,0.000843881856540084
"62","BST2",6.06795361863589e-05,0.00136826982280906,0.00337552742616034
"63","IL1R2",5.65705666351815e-05,0.00114022485234088,0.00253164556962025
"64","IL4",5.42692208008849e-05,0.0015583072981992,0.00421940928270042
"65","C1QA",4.00954402919443e-05,0.000729743905498164,0.00168776371308017
"66","CXCL12",3.40504431474628e-05,0.000760149901560588,0.00168776371308017
"67","CXCL9",2.95046465136234e-05,0.000433285443889535,0.000843881856540084
"68","CXCL16",2.39102850877361e-05,0.000342067455702264,0.000843881856540084
"69","NTF3",2.34504535178404e-05,0.000342067455702264,0.000843881856540084
"70","IL12RB1",1.55358474923581e-05,0.000380074950780294,0.000843881856540084
"71","CX3CL1",7.1614790841061e-06,0.000304059960624235,0.000843881856540084
