"","Feature","Gain","Cover","Frequency"
"35","CX3CL1",0.00198230340635617,0.0087475601432181,0.00646352723915051
"36","TNFSF11",0.00197966653278801,0.00520901938713193,0.00461680517082179
"37","IL17B",0.00190903094591422,0.00694535918284257,0.00554016620498615
"38","TNFRSF4",0.0018619589558069,0.00043707863823061,0.000923361034164358
"39","TNFSF10",0.00185269831585937,0.0141421882671329,0.0101569713758079
"40","IL2RB",0.00183413825314237,0.00159264270916907,0.00369344413665743
"41","ENO2",0.00181420663977516,0.00260450969356596,0.00277008310249307
"42","CSF2RB",0.00175530256996385,0.00898705528745405,0.00923361034164358
"43","MDH1",0.00175125558281374,0.0019399106683112,0.00369344413665743
"44","CXCL2",0.00174179375003586,0.00103581649882049,0.00184672206832872
"45","CHI3L1",0.00173995250184359,0.00301763881737298,0.00277008310249307
"46","CXCL5",0.00169303984458997,0.000868169897855321,0.00184672206832872
"47","IL15RA",0.00168991412440588,0.00130524853608593,0.00184672206832872
"48","CXCL9",0.00166602685227733,0.000622687375013472,0.000923361034164358
"49","IL1RN",0.00162471806171342,0.00279011843034882,0.00554016620498615
"50","FGF23",0.00153423361579546,0.00783747859512148,0.00554016620498615
"51","HGF",0.00149358990546904,0.0142679232178568,0.00831024930747922
"52","NTF3",0.00146587622344288,0.000760397082949143,0.00184672206832872
"53","PGF",0.00146585393049329,0.00284999221640781,0.00554016620498615
"54","IL4",0.00139989433249564,0.00529883006622041,0.00646352723915051
"55","ICOSLG",0.00137499320894069,0.00223329222000024,0.00461680517082179
"56","IL27",0.00136710196088404,0.00141900872959801,0.00184672206832872
"57","CD200R1",0.00135891434447633,0.00155671843753368,0.00277008310249307
"58","TNFSF15",0.00135678792040332,0.00785544073093918,0.00554016620498615
"59","CD63",0.00129040180696157,0.00513717084386114,0.00646352723915051
"60","HBA1",0.00113334354508935,0.00234106503490642,0.00277008310249307
"61","PDGFRB",0.00111885283797216,0.00174232717431654,0.00369344413665743
"62","POSTN",0.00110939906473687,0.000478990288471901,0.000923361034164358
"63","S100B",0.0011005080356539,0.012304063035122,0.00923361034164358
"64","CD27",0.00109949985521398,0.00168844076686345,0.00184672206832872
"65","TNFSF9",0.00100785819620799,0.00114957669233256,0.00277008310249307
"66","IL17F",0.00100110086141499,0.00621489899292292,0.00369344413665743
"67","IL10",0.000986398340980222,0.00139505921517441,0.00277008310249307
"68","FCN2",0.000984715947508683,0.00213150678369996,0.00184672206832872
"69","WNT7A",0.000980881688181199,0.00361038929935696,0.00554016620498615
"70","CEACAM5",0.000934916319027157,0.00608916404219904,0.00369344413665743
"71","CXCL12",0.000884339040049826,0.00172436503849884,0.00369344413665743
"72","CCL16",0.000855690062805777,0.00412530385946425,0.00554016620498615
"73","ANXA1",0.00083848826991414,0.00308349998203786,0.00369344413665743
"74","IL22",0.000835927151915068,0.00423906405297633,0.00461680517082179
"75","IL6R",0.00083274853723866,0.00643643200134117,0.00461680517082179
"76","NPTX1",0.000762464955311827,0.00296973978852579,0.00369344413665743
"77","UCHL1",0.000760838179638629,0.00109569028487947,0.00277008310249307
"78","IL17C",0.000733315448144732,0.00201774659018788,0.00369344413665743
"79","MME",0.000731349934027456,0.00570597181142152,0.00554016620498615
"80","LILRB2",0.000677361588705511,0.00119148834257385,0.00184672206832872
"81","BDNF",0.000663419114122771,0.00542456501694428,0.00369344413665743
"82","NGF",0.000656771707118483,0.00343076794117999,0.00369344413665743
"83","IL7R",0.000634519146437868,0.00211354464788226,0.00369344413665743
"84","CD274",0.000613835776532215,0.00325713396160893,0.00277008310249307
"85","IFNB1",0.000613335185947427,0.00423307667437043,0.00461680517082179
"86","IL3RA",0.000607142592651438,0.0124597348788753,0.012927054478301
"87","NPTX2",0.000594888809155277,0.00609515142080494,0.00461680517082179
"88","TNFSF18",0.000581483412438385,0.00180220096037553,0.00369344413665743
"89","CSF1",0.000573886781322905,0.00366427570681004,0.00277008310249307
"90","REST",0.000542718001650002,0.00863379994970602,0.00554016620498615
"91","BST2",0.000541446463846946,0.000928043683914309,0.00184672206832872
"92","IL2",0.000537494206188473,0.00135314756493312,0.00184672206832872
"93","CCL22",0.000532211477464822,0.00258654755774827,0.00277008310249307
"94","CCL13",0.000512170318835933,0.000802308733190435,0.00184672206832872
"95","FLT1",0.000494292826872117,0.0028859164880432,0.00369344413665743
"96","THBS2",0.000451042368246404,0.00398759415152858,0.00554016620498615
"97","CRH",0.000447873040634983,0.00204768348321738,0.00277008310249307
"98","IFNA1;_IFNA13",0.000432426826096296,0.00391574560825779,0.00369344413665743
"99","CNTN2",0.000416382962562575,0.00366427570681004,0.00184672206832872
"100","MSLN",0.000402443491941091,0.0068076494749069,0.00461680517082179
"101","LCN2",0.000388594105867201,0.00197583493994659,0.00277008310249307
"102","SPP1",0.000387589801547406,0.00238896406375361,0.00277008310249307
"103","NPY",0.000381938528015312,0.000562813588954484,0.00184672206832872
"104","VCAM1",0.000372999858557746,0.0137470212791436,0.0120036934441367
"105","TGFB1",0.000372313530709859,0.00355650289190387,0.00184672206832872
"106","IL36G",0.00036877167461749,0.00158066795195727,0.00277008310249307
"107","CCL1",0.000367345795282632,0.000287394173083141,0.000923361034164358
"108","THPO",0.000341349920826402,0.00747224850016166,0.00831024930747922
"109","CXADR",0.000329656531803989,0.00106575339184998,0.00184672206832872
"110","CLEC4A",0.000318710716551685,0.00380797279335161,0.00461680517082179
"111","PTX3",0.000297265331112023,0.00473002909866002,0.00461680517082179
"112","PSEN1",0.000286567623352953,0.00087415727646122,0.000923361034164358
"113","TNFRSF11B",0.000274421553922231,0.00799315043887485,0.00646352723915051
"114","SQSTM1",0.000271667537054135,0.000544851453136788,0.00184672206832872
"115","FLT3LG",0.000270230947582127,0.00452645822605947,0.00369344413665743
"116","AGRN",0.000269123816891181,0.0019458980469171,0.00277008310249307
"117","GOT1",0.000257718726039036,0.00342478056257409,0.00461680517082179
"118","SDC1",0.000249349964715227,0.00121543785699745,0.000923361034164358
"119","IL11",0.000247418837767399,0.00567004753978613,0.00646352723915051
"120","IL13RA2",0.000244483201413508,0.00166449125243986,0.00277008310249307
"121","GRN",0.000240423637176765,0.00117951358536206,0.00277008310249307
"122","NAMPT",0.000235900632611996,0.00155073105892778,0.00277008310249307
"123","CCL21",0.00023495935222836,0.000592750481983978,0.00184672206832872
"124","IL36B",0.000234436038312339,0.00159264270916907,0.00184672206832872
"125","CD200",0.000216897476176614,0.00101785436300279,0.00184672206832872
"126","LTA|LTB",0.000214694456909884,0.00593947957705158,0.00461680517082179
"127","IL12p70",0.000212562122276114,0.00077835921876684,0.00184672206832872
"128","IL12B",0.000210396395315154,0.00208360775485277,0.00277008310249307
"129","IL12RB1",0.000209356490814829,0.000419116502412914,0.000923361034164358
"130","IL1R2",0.000200585353254912,0.00620292423571112,0.00646352723915051
"131","Aβ42",0.0002003729672743,0.000263444658659546,0.000923361034164358
"132","HTT",0.00019325986327006,0.000562813588954484,0.00184672206832872
"133","SELE",0.000192765885951386,0.00310146211785556,0.00277008310249307
"134","MICA",0.000190803147711342,0.00370618735705134,0.00461680517082179
"135","SNCB",0.000185720176007606,0.00122741261420925,0.00277008310249307
"136","TNFSF8",0.000181549551101718,0.00224526697721204,0.00369344413665743
"137","LAG3",0.000180502578113998,0.00440671065394149,0.00554016620498615
"138","PARK7",0.000179926887241212,0.00286795435222551,0.00277008310249307
"139","PTN",0.000179537741332994,0.0110766504209127,0.00738688827331487
"140","IFNG",0.000178048856308699,0.00312541163227916,0.00461680517082179
"141","LGALS9",0.000177217776106349,0.00602929025614006,0.00369344413665743
"142","C1QA",0.00017642791404361,0.00416122813109964,0.00277008310249307
"143","MMP12",0.000175976363382803,0.00229316600605923,0.00369344413665743
"144","APOE4",0.000169975478701517,0.00305955046761427,0.00461680517082179
"145","TIMP3",0.000169349708512948,0.000473002909866002,0.000923361034164358
"146","CCL19",0.000166494506609363,0.00962171741967932,0.00554016620498615
"147","VSNL1",0.000158754888096622,0.00171239028128705,0.00277008310249307
"148","CXCL14",0.000158601149825543,0.000652624268042965,0.00184672206832872
"149","CSF3",0.000149804031180172,0.00962171741967932,0.00646352723915051
"150","TNFRSF1B",0.000148469783955914,0.00675376306745381,0.00461680517082179
"151","SOD1",0.000147922479250049,0.00197583493994659,0.00184672206832872
"152","IL23",0.00014310862490032,0.00489767569962519,0.00369344413665743
"153","CCL14",0.000141375959782222,0.00344873007699769,0.00184672206832872
"154","FTH1",0.0001352995660003,0.000634662132225269,0.00184672206832872
"155","TNFSF13",0.000135211341860919,0.000706510675496054,0.00184672206832872
"156","CTSS",0.000133952291064226,0.000634662132225269,0.00184672206832872
"157","GZMB",0.000130253180660767,0.00216144367672945,0.00369344413665743
"158","GZMA",0.000128548055010057,0.0077716174304566,0.00646352723915051
"159","VSTM1",0.000122117087452597,0.00307751260343197,0.00277008310249307
"160","TNFRSF17",0.000119250811174588,0.00411931648085835,0.00369344413665743
"161","FGF2",0.000118533126705359,0.00211953202648816,0.00184672206832872
