"","Variable","Importance","StDev"
"1","TREM2",0.75460059739922,0.074315099346161
"2","CCL11",0.738911180763296,0.075783399596251
"3","AGRP",0.605250149653003,0.0794830177596602
"4","CHI3L1",0.584653621522125,0.0705608332600807
"5","NEFL",0.573349440153929,0.0758273241849668
"6","GFAP",0.561305624042789,0.066042803064845
"7","CRH",0.559112926357989,0.0761663333167419
"8","CNTN2",0.545538229724625,0.0709280601204909
"9","BMP7",0.489561941549814,0.0686239573657859
"10","KLRK1",0.473462274287191,0.0663400759683792
"11","NEFH",0.434764518353775,0.0679216974331077
"12","CST7",0.417139057426313,0.0524216730594631
"13","GDNF",0.413119121334819,0.0566033531722123
"14","IL17B",0.396626759554865,0.0701178805869775
"15","VSNL1",0.378909490123276,0.0557659591209923
"16","VEGFD",0.376336215465224,0.0504765699284855
"17","FGF21",0.373765509321234,0.057621144288609
"18","NPTXR",0.365300800042092,0.062212468348168
"19","HBA1",0.361144105205145,0.0493216219146362
"20","IL18R1",0.352499217723954,0.0459490911376839
"21","TNFRSF13B",0.351530915508712,0.0563177532086725
"22","TNFSF11",0.344488926028509,0.0565991190186666
"23","IL12p70",0.315116820599419,0.0436765186895818
"24","FTH1",0.310649914275745,0.0474484055859909
"25","BST2",0.297862870069317,0.0435128311515764
"26","CCL15",0.294325010148321,0.048600023153788
"27","S100A9",0.281907870212783,0.052771107647645
"28","PDLIM5",0.281800727964064,0.0469552023300837
"29","KDR",0.271370832810106,0.0389146276309828
"30","IL4R",0.270222810816088,0.0532915486287696
"31","CCL5",0.26972409807546,0.0457978216173902
"32","CD63",0.26817216481246,0.0487142501783231
"33","YWHAZ",0.264972826816269,0.0394129276405268
"34","LAMP3",0.258543869829836,0.0462824849868752
"35","TNFSF15",0.252382118191974,0.0607630221629964
"36","IL7R",0.248724296984447,0.0485307103485675
"37","CCL21",0.246991762400019,0.0449614259774275
"38","NPTX1",0.243432432016734,0.0423363631571561
"39","IL2",0.239820867596443,0.0496920655598951
"40","IL5RA",0.218646783896744,0.0356768466889746
"41","IL15RA",0.209756337421299,0.0479746154468297
"42","NPTX2",0.203933465538784,0.040798180013295
"43","HAVCR1",0.201115004875544,0.0407096730514086
"44","CD40",0.200071377614447,0.0395915770562382
"45","THPO",0.199803895097762,0.042766659550293
"46","FABP3",0.195211634522687,0.0357063966385337
"47","GDI1",0.177265537552114,0.0439534883803725
"48","SDC1",0.177258179780879,0.0406021926599573
"49","CCL26",0.176733433911125,0.0339535691952954
"50","S100B",0.172439683588703,0.0375764560403295
"51","MICB",0.171215150974806,0.0374490896797373
"52","CCL27",0.168999047220413,0.0357421721494448
"53","FCN2",0.162308431388229,0.0406226123453567
"54","CSF3",0.161334018869356,0.042655843936527
"55","NTF3",0.160451342314188,0.0359200856898822
"56","CCL14",0.16013569963223,0.0462449530031015
"57","BACE1",0.158902764909322,0.0377340592878153
"58","KLK6",0.158881521116026,0.0344270783411556
"59","IL1RL1",0.158061274650887,0.0288107942443022
"60","ANXA1",0.154186300466945,0.0294064937460703
"61","IL16",0.153813397861439,0.0451336990128041
"62","CXADR",0.153062170349578,0.0363804896937
"63","SELE",0.146829452499632,0.0299204997043336
"64","CXCL9",0.145449829853913,0.0329748268038129
"65","TNFRSF17",0.139397122663007,0.0349806377127807
"66","IL24",0.139060569621569,0.0300953388976125
"67","CD80",0.138315088058118,0.0323398008015595
"68","CEACAM5",0.135000252388045,0.0318392535494783
"69","VGF",0.132267608026041,0.0346238394195174
"70","FLT3LG",0.131826651955014,0.0291065992067522
"71","CXCL10",0.125866890621084,0.0410339858941062
"72","IL12RB1",0.123196126410108,0.0281908850105899
"73","TREM1",0.120090599612382,0.0283906810487551
"74","MMP12",0.119600992323206,0.0324449912614409
"75","CX3CL1",0.118443578109504,0.029327542757353
"76","S100A12",0.117354916105078,0.0221986118676287
"77","TNFRSF8",0.11676089811168,0.0328791472348935
"78","OSMR",0.115099469586786,0.0299921382057987
"79","TGFB1",0.113867764888091,0.0272819645897486
"80","NPY",0.113099672012004,0.0240144150298313
"81","CCL25",0.112041399111556,0.0272434438498809
"82","THBS2",0.111883994262214,0.0199570814471863
"83","IL33",0.110544602203989,0.0283639714252357
"84","pTau-181",0.108250175891658,0.0271608638332762
"85","CCL13",0.107570754024224,0.027756984821819
"86","MAPT",0.107170100681221,0.0251957807758683
"87","FGF19",0.103508026107951,0.0222965013500555
"88","LIF",0.102384076908809,0.0256775035435863
"89","MME",0.101875379051844,0.0234573666920851
"90","TAFA5",0.10082850187181,0.028346867878422
"91","KNG1",0.100306093762475,0.0243931203533549
"92","TEK",0.099982488967588,0.0208631986415596
"93","IL9",0.0992889975992523,0.032271484915579
"94","IRAK4",0.0988236301464971,0.0347084412664495
"95","HLA-DRA",0.0978734195730682,0.0196574244615219
"96","SLAMF1",0.0973654814817919,0.0282328851364413
"97","MSLN",0.097155917675879,0.0244352615484941
"98","IL17RA",0.096153489979708,0.0247910952350922
"99","IL13",0.0949776408966331,0.0238705740395523
"100","KITLG",0.0866868176951384,0.030017436851272
"101","IFNG",0.0835735387277534,0.0206240178463268
"102","PTX3",0.0823654528320348,0.0226993304972056
"103","TNFRSF1A",0.0819608725372966,0.0257601092407203
"104","PDCD1LG2",0.0814872924288295,0.0230642365316274
"105","AGER",0.0800160030828057,0.0225461740444045
"106","CSF1",0.0788792197393055,0.0235253845803731
"107","PDGFB",0.0781764853719507,0.0242429970183124
"108","IL6R",0.075948330758422,0.0210946786044491
"109","CD3E",0.0737076978647598,0.0215643005158228
"110","APOE",0.072890039876836,0.0182976308553213
"111","CALB2",0.0723021357128455,0.0217004785857316
"112","TNFSF10",0.0715274521540324,0.019738782477951
"113","MPO",0.0700474394666161,0.0184250808784923
"114","POSTN",0.0692778716575097,0.0272549329496614
"115","OSM",0.0683560864199927,0.016128301982537
"116","IL3RA",0.0682740234923326,0.0232717458703245
"117","TNFRSF13C",0.0678200845079129,0.0262697921027991
"118","CXCL5",0.0665016107200491,0.0219226929575277
"119","CTLA4",0.066348871015066,0.0233853418988347
"120","CCL4",0.0656019839879075,0.0234403326695682
