"","Feature","Gain","Cover","Frequency"
"1","CCL11",0.307412369153648,0.170667810926173,0.0812870448772227
"2","GFAP",0.282806372411962,0.160369475372073,0.0999153259949196
"3","NEFL",0.186223093150751,0.118596475379601,0.0668924640135478
"4","FABP3",0.0313486311711772,0.0412385103547957,0.0279424216765453
"5","pTau-181",0.018599761165951,0.0380391005518041,0.0355630821337849
"6","HAVCR1",0.0134335946040065,0.0320242101221798,0.0321761219305673
"7","FASLG",0.0114362121127633,0.0142354916175463,0.0270956816257409
"8","CHI3L1",0.0110766624032906,0.0264459450303756,0.0270956816257409
"9","TREM1",0.0102672693150828,0.0206041991312661,0.0169348010160881
"10","NEFH",0.00889278506780492,0.0275676204671891,0.0313293818797629
"11","IL9",0.00847992074513867,0.0108403532148423,0.0203217612193057
"12","FGF23",0.00714348177863463,0.0140924591792949,0.0101608806096528
"13","IL12p70",0.0062470073254389,0.00956811731671146,0.0160880609652837
"14","IL16",0.00570020060709361,0.00514916777705007,0.00762066045723963
"15","FGF21",0.0045060909872149,0.0102908075310343,0.0254022015241321
"16","CHIT1",0.00447395314681873,0.0139720108102411,0.0135478408128704
"17","TNFSF15",0.00426643340571252,0.00533736835369664,0.00931414055884843
"18","CRH",0.00378322416659843,0.00607511461415118,0.0143945808636749
"19","VEGFD",0.00377644667300468,0.00763341538878475,0.0101608806096528
"20","TNFRSF8",0.00369089770244583,0.00529220021530146,0.00677392040643522
"21","BMP7",0.00307406655887575,0.0050211913849304,0.00846740050804403
"22","PDCD1",0.00296381962957484,0.00416299675542206,0.0110076206604572
"23","IL10",0.00285000831475952,0.0107123768227226,0.0186282811176969
"24","CXCL10",0.00275133601491531,0.0128126952580983,0.0143945808636749
"25","CD274",0.00251823938671313,0.0106822647304591,0.0160880609652837
"26","S100A9",0.00244791137975128,0.00985418219321424,0.0135478408128704
"27","IL18BP",0.00243213570956473,0.00983159812401665,0.0160880609652837
"28","IL17F",0.00236126983646087,0.0065945482056957,0.0118543607112616
"29","MSLN",0.00226890141419759,0.0145366125401808,0.0177815410668925
"30","CCL3",0.00224838384382978,0.00405007640943412,0.00592718035563082
"31","CD80",0.00212909473332883,0.00698600540512056,0.00508044030482642
"32","BST2",0.00202371021080267,0.0103284476463636,0.0110076206604572
"33","TREM2",0.00181917715142449,0.00684297296686917,0.00592718035563082
"34","CNTN2",0.00177438245844161,0.00310907352620128,0.00592718035563082
"35","SDC1",0.00157936983911125,0.00281548062663264,0.00508044030482642
"36","CX3CL1",0.0014400303881998,0.0033876103796382,0.00508044030482642
"37","IL2RA",0.00143965756090945,0.00542770463048699,0.00592718035563082
"38","KITLG",0.00138249280717537,0.0065945482056957,0.00931414055884843
"39","CST3",0.00126323593762496,0.00622567507546843,0.00762066045723963
"40","CTLA4",0.001210978662903,0.000903362767903521,0.00254022015241321
"41","AGRP",0.00120019943515288,0.00260469598078849,0.00338696020321761
"42","TNFRSF13C",0.00110738847896781,0.00189706181259739,0.00338696020321761
"43","PGF",0.00110305039077443,0.00909385186356211,0.0135478408128704
"44","SELE",0.00106516427442093,0.00411030059396102,0.00592718035563082
"45","CCL25",0.00105564263113176,0.00381670769439238,0.00931414055884843
"46","OSM",0.00104835077158717,0.00394468408651204,0.00931414055884843
"47","CXCL12",0.00103416338244515,0.00603747449882186,0.00931414055884843
"48","LAG3",0.00082913004588879,0.00782914398849718,0.0118543607112616
"49","IL1RN",0.000759341668014766,0.00368873130227271,0.00592718035563082
"50","ANGPT2",0.000754141101108159,0.00192717390486084,0.00338696020321761
"51","TNFSF18",0.000749831085669627,0.0045168138395176,0.00762066045723963
"52","VCAM1",0.000742594054973081,0.00322952189525509,0.00508044030482642
"53","SFTPD",0.000686777328519367,0.00252941575012986,0.00338696020321761
"54","CCL13",0.000669841410672437,0.001754029374346,0.00423370025402202
"55","CCL8",0.000626423995076699,0.00150560461317253,0.00423370025402202
"56","pTau-231",0.000622040547396742,0.00186694972033394,0.00169348010160881
"57","AGRN",0.000611513388846316,0.00273267237290815,0.00592718035563082
"58","CD3E",0.000579576375102081,0.00188200576646567,0.00423370025402202
"59","TGFB3",0.000497777962068283,0.00354569886402132,0.00592718035563082
