"","Feature","Gain","Cover","Frequency"
"1","CCL11",0.261327121347154,0.0752717121763897,0.0405172413793103
"2","GFAP",0.242170356800436,0.0681937339700444,0.0405172413793103
"3","NEFL",0.155929657264426,0.044147029232971,0.0293103448275862
"4","pTau-181",0.0240062776343727,0.0248898272661575,0.0163793103448276
"5","FABP3",0.02203859475893,0.0142268070453869,0.0103448275862069
"6","CHI3L1",0.0149888139061422,0.0294667781383288,0.0241379310344828
"7","FGF23",0.0136057621679247,0.0167136642530218,0.0163793103448276
"8","TNFSF15",0.0131948926545377,0.0275538110555327,0.0189655172413793
"9","IL12p70",0.0112026273414361,0.0233665386631903,0.0155172413793103
"10","HAVCR1",0.0112023348543391,0.0147865270436865,0.0120689655172414
"11","FASLG",0.0111058038403335,0.0105284040186479,0.0146551724137931
"12","TREM1",0.0100380411306778,0.0114990576865851,0.00948275862068966
"13","VEGFD",0.0091430755979868,0.0193847331056666,0.0172413793103448
"14","AGRP",0.008929952857413,0.0193563928525882,0.0181034482758621
"15","TREM2",0.00821588432406793,0.00971362174264216,0.00862068965517241
"16","IL9",0.00807290217143478,0.0140992759065338,0.0163793103448276
"17","CHIT1",0.00798643511529175,0.0281489563701804,0.0163793103448276
"18","NEFH",0.00745782940576977,0.0116407589519774,0.0112068965517241
"19","TNFRSF8",0.00675403279100465,0.00528545719913279,0.00603448275862069
"20","SELE",0.00584747303571291,0.0142834875515438,0.0129310344827586
"21","CCL13",0.00522217485873307,0.0175142764024883,0.0112068965517241
"22","CRH",0.00454199149083151,0.00605064403225121,0.00948275862068966
"23","PGF",0.00445976069311691,0.00999702427342676,0.0112068965517241
"24","IL16",0.00426958792895094,0.00188462682971759,0.00258620689655172
"25","IL10",0.00386452398627637,0.00414476201272477,0.00689655172413793
"26","S100A9",0.0035518539268198,0.00873588301143529,0.0103448275862069
"27","TNFRSF13C",0.00324445957322544,0.00729053010443383,0.00862068965517241
"28","FGF21",0.00322824140335636,0.0060931544118689,0.00775862068965517
"29","CXCL10",0.00316920674047135,0.00633404656303581,0.00775862068965517
"30","SDC1",0.00300260221441652,0.00230973062589449,0.00344827586206897
"31","IL4R",0.00255376835823725,0.0111943999659917,0.0112068965517241
"32","IL18BP",0.00250546500455162,0.00479658783352935,0.00775862068965517
"33","BST2",0.00239444888652763,0.00599396352609429,0.00948275862068966
"34","CALB2",0.00218923208953145,0.00307491745901291,0.00258620689655172
"35","IL5RA",0.00216469368556542,0.00239475138512987,0.00517241379310345
"36","IL17F",0.00215483663125042,0.00204758328491873,0.00431034482758621
"37","MSLN",0.00214700439602239,0.00488160859276473,0.00689655172413793
"38","MUC16",0.00200642787560619,0.0227288829689249,0.0112068965517241
"39","CST3",0.00199096416274286,0.00539881821144663,0.00603448275862069
"40","FURIN",0.00182866630468538,0.0139504895778719,0.00775862068965517
"41","BMP7",0.00182771673208983,0.00455569568236244,0.00775862068965517
"42","PDCD1",0.00175667424478477,0.00353544657153788,0.00603448275862069
"43","CD274",0.00175424589470487,0.00211134885434527,0.00344827586206897
"44","CEACAM5",0.00172477002279774,0.00820450326621417,0.00431034482758621
"45","ANXA1",0.00172296340358067,0.0140638505901858,0.0129310344827586
"46","IL2",0.00164553846333774,0.00334414986325828,0.00689655172413793
"47","SFTPD",0.00163250278648247,0.00214677417069334,0.00344827586206897
"48","MMP12",0.00159482619918205,0.00353544657153788,0.00603448275862069
"49","CD3E",0.00146669101469643,0.00161539442547222,0.00344827586206897
"50","CXADR",0.00141932457220049,0.00880673364413144,0.00517241379310345
"51","NPTXR",0.00140479697610984,0.00894134984625413,0.00689655172413793
"52","SMOC1",0.00137683140587802,0.0106630202207706,0.0129310344827586
"53","MPO",0.00133763085785648,0.0018421164500999,0.00431034482758621
"54","CTLA4",0.00129784789953458,0.0002834025307846,0.000862068965517241
"55","VCAM1",0.00128283509735106,0.00855875642969492,0.00517241379310345
"56","ANGPT2",0.00127987500928009,0.00176418075413413,0.00431034482758621
"57","WNT16",0.00126848150526971,0.00398180555752363,0.00431034482758621
"58","IL5",0.00126091762903159,0.010011194399966,0.00517241379310345
"59","OSMR",0.00124907029737354,0.00567513567896161,0.00775862068965517
"60","KDR",0.00123742952029429,0.0140213402105681,0.0103448275862069
"61","CD80",0.00123448135668938,0.00122571594564339,0.000862068965517241
"62","THBS2",0.00114568216935052,0.00579558175454507,0.00948275862068966
"63","CST7",0.00114447368455329,0.00469739694775474,0.00603448275862069
"64","AGER",0.00113032760568831,0.00629862124668773,0.00603448275862069
"65","LAMP3",0.00111770973469892,0.0024585169545564,0.00431034482758621
"66","KITLG",0.00111080425156563,0.00687251137152655,0.00431034482758621
"67","OSM",0.00110533743914826,0.00136741721103569,0.00344827586206897
"68","CNTN2",0.00110259050321745,0.00452735542928398,0.00344827586206897
"69","GDI1",0.00104552752380158,0.00867920250527837,0.00775862068965517
"70","TEK",0.00102514309144242,0.00292613113035099,0.00431034482758621
"71","IL17B",0.00100512961282084,0.0021255189808845,0.00258620689655172
"72","WNT7A",0.00091762850902161,0.0104646384492214,0.00862068965517241
"73","CCL25",0.0009129758611297,0.00102024911082456,0.00258620689655172
"74","BASP1",0.000879765900871775,0.00076518683311842,0.00172413793103448
"75","CX3CL1",0.000860488820125252,0.00165081974182029,0.00258620689655172
"76","CXCL12",0.000855836036751372,0.00184920151336951,0.00344827586206897
"77","MMP3",0.000845414307957454,0.00273483442207139,0.00431034482758621
"78","LAG3",0.000841704351819259,0.00332997973671905,0.00603448275862069
"79","TNFSF10",0.000815274360913805,0.00129656657833954,0.00172413793103448
"80","IL36A",0.000791027998596476,0.00194130733587451,0.00172413793103448
"81","IL2RA",0.000756096263678401,0.000729761516770345,0.000862068965517241
"82","TNFSF18",0.000738492836859825,0.00129656657833954,0.00258620689655172
"83","CD63",0.000727600217901128,0.00110526987005994,0.00258620689655172
"84","LIF",0.000718600782926884,0.00187045670317836,0.00258620689655172
"85","THPO",0.000683480916925078,0.00144535290700146,0.00258620689655172
"86","IL23",0.000676791942189833,0.00284111037111561,0.00344827586206897
"87","LGALS9",0.000673310967001884,0.000956483541398025,0.00172413793103448
"88","TNFSF12",0.000662522203183717,0.0030253220161256,0.00431034482758621
"89","TIMP2",0.000659477584627664,0.00317410834478752,0.00344827586206897
"90","CCL3",0.000644191112971587,0.000304657720593445,0.000862068965517241
"91","PDCD1LG2",0.000621893769632135,0.000304657720593445,0.000862068965517241
"92","NTF3",0.000612202463137329,0.00357795695115557,0.00689655172413793
"93","TGFB3",0.000589337497559746,0.00255770784033101,0.00431034482758621
"94","CCL28",0.000585039816533027,0.00388261467174902,0.00344827586206897
"95","UCHL1",0.000546779338894374,0.00179960607048221,0.00258620689655172
"96","CSF2",0.000523893307923315,0.00220345467685026,0.00344827586206897
"97","CD40",0.000511063713512712,0.00100607898428533,0.00258620689655172
"98","PDGFRB",0.000505047971263459,0.00483201314987743,0.00689655172413793
"99","CCL21",0.000496289002415498,0.00672372504286463,0.00517241379310345
"100","GDF2",0.000494129789320456,0.000899803035241105,0.00172413793103448
"101","IL17C",0.000486341008907716,0.000772271896388035,0.00172413793103448
"102","CD200R1",0.000486056057482074,0.00384718935540094,0.00431034482758621
"103","CCL15",0.000476124974587374,0.00080769721273611,0.00172413793103448
"104","TNFRSF9",0.000455116894090244,0.00110526987005994,0.00172413793103448
"105","CXCL9",0.000453760744210209,0.000857292655623415,0.00172413793103448
"106","SAA1",0.00044119054645197,0.00183503138683028,0.00258620689655172
"107","IL13",0.000438101984524436,0.00187754176644797,0.00344827586206897
"108","IL4",0.000431220190208217,0.000984823794476485,0.000862068965517241
"109","CCL23",0.000426984087789322,0.000488869365603435,0.000862068965517241
"110","CCL8",0.000426768696091152,0.0002834025307846,0.000862068965517241
"111","PSEN1",0.000422363282265721,0.0002834025307846,0.000862068965517241
"112","MERTK",0.000416329293058507,0.0002834025307846,0.000862068965517241
"113","SFRP1",0.000404293185750987,0.00133199189468762,0.00258620689655172
"114","IFNG",0.000390983051164425,0.00154454379277607,0.00344827586206897
"115","MAPT",0.000387723186655957,0.00223887999319834,0.00344827586206897
"116","IKBKG",0.00037364158078633,0.00076518683311842,0.00172413793103448
"117","IL1RN",0.000370096013543118,0.00049595442887305,0.000862068965517241
"118","PTX3",0.000367158107565493,0.00109818480679032,0.00172413793103448
"119","TNFRSF13B",0.000363093467842587,0.00448484504966629,0.00431034482758621
"120","VSTM1",0.000357074406285085,0.00107692961698148,0.00172413793103448
"121","IL20",0.000327207246028436,0.0010415043006334,0.00172413793103448
"122","IL36G",0.000325075426977044,0.000644740757534965,0.00172413793103448
"123","ACHE",0.00031745784034911,0.00138867240084454,0.00258620689655172
"124","TNFSF11",0.000317091297986568,0.00466905669467628,0.00431034482758621
"125","pTau-231",0.000315549858038643,0.00086437771889303,0.00172413793103448
"126","CXCL2",0.000315432274058553,0.000375508353289595,0.000862068965517241
"127","CTF1",0.00031352946880152,0.00193422227260489,0.00344827586206897
"128","CD70",0.000308813957275835,0.00151620353969761,0.00258620689655172
"129","IL12RB1",0.000300356546658546,0.00183503138683028,0.00258620689655172
"130","EGF",0.000291223978069094,0.00101316404755494,0.00172413793103448
"131","CCL19",0.000289983361464795,0.00205466834818835,0.00344827586206897
"132","LCN2",0.000288813203695582,0.000347168100211135,0.000862068965517241
"133","NPY",0.0002824059821904,0.00128239645180031,0.00258620689655172
"134","HLA-DRA",0.000274441387236595,0.00129656657833954,0.00258620689655172
"135","NPTX1",0.000270606210861856,0.00311034277536098,0.00431034482758621
"136","TLR3",0.000266758442874996,0.00284819543438523,0.00431034482758621
"137","IRAK4",0.000251072324042444,0.00579558175454507,0.00258620689655172
"138","HGF",0.000251018767609411,0.00058097518810843,0.00172413793103448
"139","IL7R",0.000249124200066666,0.00148786328661915,0.00258620689655172
"140","MMP8",0.000233873491544981,0.00104858936390302,0.00258620689655172
"141","FTH1",0.000233081730810628,0.00133199189468762,0.00258620689655172
"142","MDH1",0.000230607275806011,0.000588060251378045,0.000862068965517241
"143","SPP1",0.000230168363491511,0.000318827847132675,0.000862068965517241
"144","CCL22",0.000220017571950436,0.00158705417239376,0.00344827586206897
"145","IL34",0.000212233892639117,0.00066599594734381,0.00172413793103448
"146","CXCL14",0.000211675462647329,0.00190588201952643,0.00344827586206897
"147","IL1R2",0.000207971510823684,0.00106984455371186,0.00172413793103448
"148","IL6R",0.000203158175157862,0.00122571594564339,0.00172413793103448
"149","AGRN",0.000202632498958541,0.000361338226750365,0.000862068965517241
"150","CXCL13",0.00019688479546909,0.000743931643309575,0.00172413793103448
"151","IL6ST",0.000193421400093042,0.00060931544118689,0.000862068965517241
"152","POSTN",0.0001925769615057,0.000304657720593445,0.000862068965517241
"153","IL7",0.000189997319121187,0.00137450227430531,0.00172413793103448
"154","FLT4",0.000189992478719919,0.00101316404755494,0.00172413793103448
"155","IL17A|IL17F",0.000189762992791424,0.001324906831418,0.00172413793103448
"156","FOLR1",0.000186204579394209,0.00143826784373184,0.00344827586206897
"157","VSNL1",0.000184345064731896,0.00068016607388304,0.00172413793103448
"158","GZMA",0.000183910590478271,0.000998993921015715,0.00172413793103448
"159","CXCL11",0.000183809644094568,0.00135324708449646,0.00258620689655172
"160","IL11",0.000178532235470333,0.00106984455371186,0.00172413793103448
"161","CRP",0.000169294497975801,0.00137450227430531,0.00258620689655172
"162","CD93",0.0001688389439594,0.000418018732907285,0.000862068965517241
"163","FGF19",0.000164812058545284,0.00038259341655921,0.000862068965517241
"164","TNFRSF11B",0.000164095038697352,0.00036842329001998,0.000862068965517241
"165","CXCL6",0.000163232092451895,0.000786442022927265,0.000862068965517241
"166","IFNA2",0.000151026780481209,0.000658910884074195,0.00172413793103448
"167","IL24",0.000150508465468889,0.00165081974182029,0.00344827586206897
"168","IL6",0.000150381438806088,0.000687251137152655,0.000862068965517241
"169","EPO",0.000146165053119247,0.00096356860466764,0.00172413793103448
"170","SNAP25",0.000145137087782373,0.00051012455541228,0.000862068965517241
"171","TNFRSF18",0.000144430522626409,0.00128239645180031,0.00344827586206897
"172","CCL27",0.000141462356956207,0.00043927392271613,0.000862068965517241
"173","IL22",0.000141302783829406,0.000545549871760355,0.000862068965517241
"174","TNFSF8",0.00013885226807822,0.00116195037621686,0.00258620689655172
"175","NAMPT",0.00013779504479424,0.00111235493332955,0.00258620689655172
"176","IL15",0.000130302649664251,0.000942313414858795,0.000862068965517241
"177","TGFB1",0.000129296940319978,0.00287653568746369,0.00258620689655172
