"","Feature","Gain","Cover","Frequency"
"59","ANXA5",0.00151792372867985,0.00101299583902342,0.00175438596491228
"60","S100A12",0.00146566224157895,0.00208369397267476,0.00263157894736842
"61","CTF1",0.00142984139994435,0.00125662774967462,0.00263157894736842
"62","TEK",0.00140079973198891,0.00462259493630308,0.00526315789473684
"63","CXCL13",0.00135471828242794,0.00491751777551243,0.00350877192982456
"64","CX3CL1",0.00129076455262613,0.00063472524090708,0.00175438596491228
"65","Aβ38",0.00128538174837535,0.00162207561565143,0.00263157894736842
"66","POSTN",0.00111903627242876,0.00128868458002347,0.00350877192982456
"67","TNFSF10",0.00108474008016928,0.00228885768690735,0.00175438596491228
"68","AGER",0.00108015546898146,0.00194264391913985,0.00350877192982456
"69","ANXA1",0.00107622113604878,0.00534707930218692,0.00526315789473684
"70","IL36B",0.00105286451763444,0.00748847556948959,0.00701754385964912
"71","IL17RA",0.00101504682445789,0.00188494162451193,0.00263157894736842
"72","MMP12",0.000990583052546512,0.00343649221339591,0.00526315789473684
"73","NGF",0.000979508447609131,0.00214139626730267,0.00263157894736842
"74","OSMR",0.000968634933694106,0.00296846249030281,0.00526315789473684
"75","VGF",0.000966530919683806,0.00266071691895392,0.00526315789473684
"76","CSF1",0.000934782752598284,0.00240426227616318,0.00350877192982456
"77","ENO2",0.000927164487055069,0.0023593827136748,0.0043859649122807
"78","BACE1",0.000894946120808935,0.00882203971200144,0.00964912280701754
"79","IL4",0.000890407089467355,0.00220550992800036,0.00175438596491228
"80","IL6ST",0.000855203783727702,0.00173106883883749,0.00350877192982456
"81","IL17A",0.000841864214476561,0.000807832124790829,0.00175438596491228
"82","IFNW1",0.000787532631918946,0.00125021638360485,0.00175438596491228
"83","BST2",0.000784158865800962,0.00275688741000045,0.00526315789473684
"84","APOE",0.000772602822612602,0.00369294685618665,0.0043859649122807
"85","MICB",0.000772204322564588,0.00173106883883749,0.0043859649122807
"86","IL18",0.000761543848978538,0.000602668410558238,0.00175438596491228
"87","pTDP43-409",0.000723945635534085,0.00187853025844217,0.00350877192982456
"88","CD3E",0.000698339770431662,0.00600745000737307,0.00701754385964912
"89","CD63",0.000692539483394335,0.00426996980246581,0.00526315789473684
"90","CCL1",0.000651607347945505,0.00373141505260526,0.00350877192982456
"91","GDI1",0.000635545133190545,0.00783468933725709,0.00526315789473684
"92","PDLIM5",0.000628575830202319,0.0182595705667006,0.0114035087719298
"93","CCL2",0.000626599147820068,0.000301334205279119,0.00087719298245614
"94","CD70",0.000606695172075201,0.00139126643713976,0.00263157894736842
"95","ARSA",0.000605277415155339,0.000602668410558238,0.00175438596491228
"96","NPY",0.000590597202677635,0.00255172369576786,0.00526315789473684
