"","name","coefficient"
"1","(Intercept)",-39.550618560189
"20","BMP7",-2.51543794770788
"5","AGRP",-2.22087980873447
"276","THPO",-1.91516122113381
"82","CX3CL1",-1.90874214808993
"272","TEK",-1.87021410031053
"195","KLRK1",-1.75552029190618
"182","IL4R",-1.61699211224818
"227","NPTXR",-1.53353875919395
"35","CCL21",-1.44997619903956
"58","CD63",-1.37228444733894
"255","SDC1",-1.21065584287903
"314","VSNL1",-1.1756207586898
"159","IL18R1",-1.04482308505395
"189","IL7R",-0.936419126368217
"224","NGF",-0.900631627268459
"275","THBS2",-0.899730472846936
"194","KLK6",-0.87335500527759
"69","CRH",-0.845217972695991
"296","TNFSF11",-0.826744206601718
"285","TNFRSF13C",-0.826559360103293
"36","CCL22",-0.819870588190358
"248","REST",-0.813563273880179
"155","IL17RA",-0.808227535764246
"293","TNFRSF8",-0.795828529089222
"21","BST2",-0.786554522188434
"295","TNFSF10",-0.7794603049407
"118","GOT1",-0.758357492530387
"147","IL15",-0.736563557124184
"39","CCL25",-0.728153970498155
"78","CST7",-0.720401101274198
"205","MAPT",-0.663687412899048
"10","APOE",-0.655842105476155
"163","IL1R2",-0.652702369114606
"16","Aβ42",-0.650800242014536
"175","IL33",-0.626706626369003
"256","SELE",-0.618969932794706
"270","TAFA5",-0.60913783485798
"40","CCL26",-0.604769296039749
"4","AGRN",-0.586971951218167
"209","MICB",-0.579697358905669
"51","CD274",-0.57408736077269
"120","GZMA",-0.568558600948672
"251","S100A9",-0.565497463205684
"219","MUC16",-0.544121192744182
"32","CCL19",-0.533138025835782
"106","FGF23",-0.530771276474296
"74","CSF2RB",-0.514359141734813
"3","AGER",-0.512936130798711
"140","IL10RB",-0.502379843065328
"102","FCN2",-0.500261880177685
"196","KNG1",-0.485184630756197
"235","PDCD1",-0.480775891041436
"158","IL18BP",-0.473528554772463
"286","TNFRSF14",-0.46922816050902
"168","IL22",-0.464061242701076
"245","PSEN1",-0.453248171499362
"237","PDGFA",-0.444029228693894
"89","CXCL14",-0.440544718739804
"128","ICOSLG",-0.431016171935908
"318","YWHAZ",-0.429764162258527
"178","IL36B",-0.425141936289789
"268","SPP1",-0.423137004926368
"264","SNAP25",-0.415569843768528
"164","IL1RL1",-0.412725861016901
"150","IL17A",-0.412042997246242
"250","S100A12",-0.411089456988902
"152","IL17B",-0.401765144121715
"61","CD83",-0.399766403601708
"303","TNFSF8",-0.393943483981146
"132","IFNG",-0.385469864449877
"281","TNF",-0.375478512569658
"49","CD200R1",-0.36919340550737
"53","CD3E",-0.364264401223814
"240","PDLIM5",-0.363010176918219
"17","BACE1",-0.354103116057792
"88","CXCL13",-0.347040905916025
"288","TNFRSF18",-0.342317578896458
"75","CSF3",-0.337980039585476
"171","IL27",-0.3315896905743
"278","TIMP2",-0.330593647289167
"186","IL6R",-0.325053551112013
"280","TLR3",-0.32424872173082
"231","OSM",-0.321142728296321
"94","CXCL6",-0.30354386298675
