"","name","coefficient"
"1","(Intercept)",-7.47432152500993
"5","AGRP",-1.96795593579397
"276","THPO",-1.70517444768711
"195","KLRK1",-1.63028125348853
"20","BMP7",-1.58487437019801
"182","IL4R",-1.52494192384485
"227","NPTXR",-1.30727238306953
"255","SDC1",-1.28803696742768
"58","CD63",-1.24183797326587
"35","CCL21",-1.17416842176055
"314","VSNL1",-1.14847340461785
"3","AGER",-1.13881393152008
"189","IL7R",-1.1375006633184
"272","TEK",-1.11340637448855
"163","IL1R2",-1.0881855416151
"82","CX3CL1",-1.05439003091724
"51","CD274",-0.980752550075556
"101","FASLG",-0.932797603714848
"118","GOT1",-0.880823193675743
"49","CD200R1",-0.864969292269623
"78","CST7",-0.836007943545531
"147","IL15",-0.753415919774988
"219","MUC16",-0.73096905013707
"296","TNFSF11",-0.70126299804776
"248","REST",-0.699250695731842
"285","TNFRSF13C",-0.689916499409374
"251","S100A9",-0.682912448042865
"39","CCL25",-0.676879210694473
"178","IL36B",-0.670370623711733
"155","IL17RA",-0.669472226047638
"194","KLK6",-0.619436737637979
"88","CXCL13",-0.618244467526817
"152","IL17B",-0.607884030380496
"66","CLEC4A",-0.601797015978426
"36","CCL22",-0.591330282723537
"295","TNFSF10",-0.587808184826947
"293","TNFRSF8",-0.583859427539366
"275","THBS2",-0.574444083944669
"4","AGRN",-0.570903967178579
"140","IL10RB",-0.569231414951807
"21","BST2",-0.557158268221446
"318","YWHAZ",-0.533251603533479
"256","SELE",-0.531921511293919
"203","LTA",-0.520200328994191
"40","CCL26",-0.509386701952471
"71","CSF1",-0.493562207269715
"17","BACE1",-0.492964333099677
"159","IL18R1",-0.491041667360139
"106","FGF23",-0.477757759501414
"102","FCN2",-0.464321990539793
"235","PDCD1",-0.45293297145748
"94","CXCL6",-0.449648448333316
"54","CD4",-0.445435687533807
"205","MAPT",-0.43966342332535
"164","IL1RL1",-0.433207239503675
"69","CRH",-0.393825166906292
"74","CSF2RB",-0.389916962771935
"224","NGF",-0.372162371834984
"89","CXCL14",-0.366693275614146
"53","CD3E",-0.346236205967122
"30","CCL16",-0.344238198396311
"196","KNG1",-0.341799282009205
"240","PDLIM5",-0.336312893638484
"120","GZMA",-0.335352166669598
"34","CCL20",-0.328274263027359
"158","IL18BP",-0.318719561990794
"270","TAFA5",-0.305660786494626
"288","TNFRSF18",-0.303788663779754
"207","MERTK",-0.294757411541967
"10","APOE",-0.288834455934381
"116","GDNF",-0.274982833404771
"61","CD83",-0.27493261790339
"151","IL17A|IL17F",-0.274646805494129
"62","CD93",-0.270637521344614
"168","IL22",-0.263154404283275
"7","ANGPT2",-0.257038604934152
"237","PDGFA",-0.253357107154931
"246","PTN",-0.245858979292556
"32","CCL19",-0.240364119001641
"130","IFNA2",-0.237888914424215
"128","ICOSLG",-0.237414324195052
"250","S100A12",-0.236878169464358
"175","IL33",-0.232909445387099
"161","IL1B",-0.228760313866609
"75","CSF3",-0.227773228200404
"172","IL2RA",-0.224561134350439
"90","CXCL16",-0.222675858336192
"291","TNFRSF21",-0.218794455469728
"201","LIF",-0.215989992660398
"8","ANXA1",-0.215770589636959
"308","UCHL1",-0.21081360723907
"70","CRP",-0.204957669624624
"150","IL17A",-0.200558789155826
"267","SOD1",-0.198934005692266
"231","OSM",-0.192975112712983
"209","MICB",-0.187290343444069
"171","IL27",-0.184832029597669
"139","IL10",-0.179941150201061
"268","SPP1",-0.166662057744904
"217","MPO",-0.163177480897871
"170","IL24",-0.157702679673759
"286","TNFRSF14",-0.157119647886182
"167","IL20",-0.15436428373079
"215","MMP8",-0.150161547841145
"174","IL32",-0.14900158426469
"83","CXADR",-0.143508899036934
"280","TLR3",-0.143015231777938
"310","VEGFA",-0.142044254340344
"153","IL17C",-0.137531853887308
"142","IL12B",-0.137422550360981
"24","CALCA",-0.136272785540559
"247","PTX3",-0.132297454322408
"281","TNF",-0.127636663137753
"154","IL17F",-0.115707453872276
"86","CXCL11",-0.115376156080353
"262","SLIT2",-0.111773683454958
"72","CSF1R",-0.111492365072726
"99","EPO",-0.110759629898969
"188","IL7",-0.108778973802922
"9","ANXA5",-0.107613154526146
"230","NTF3",-0.104425858141718
"179","IL36G",-0.104145499141092
"264","SNAP25",-0.103008455114025
"131","IFNB1",-0.10077232593035
"56","CD40LG",-0.0960199834705734
"165","IL1RN",-0.0920445436032859
"87","CXCL12",-0.0916542996654778
"132","IFNG",-0.0889309188313696
"95","CXCL8",-0.0840416540409233
"185","IL6",-0.0797968838643632
"160","IL19",-0.0762697391903474
"141","IL11",-0.0756966768125305
"290","TNFRSF1B",-0.0750687520538462
"45","CCL5",-0.0735348352403261
"173","IL2RB",-0.0696796161713595
"156","IL17RB",-0.0668314801774293
"206","MDH1",-0.0660873377442022
"11","APOE4",-0.0620211860785089
"97","EGF",-0.0480459734240286
