"","name","coefficient"
"1","(Intercept)",-4.77484487193322
"5","AGRP",-2.03522770583749
"276","THPO",-1.79452730706851
"195","KLRK1",-1.6929232563676
"20","BMP7",-1.66079292165995
"182","IL4R",-1.55356458523802
"227","NPTXR",-1.33882755481231
"255","SDC1",-1.32786653366864
"58","CD63",-1.27641555165416
"35","CCL21",-1.22449420875376
"314","VSNL1",-1.18373693779729
"3","AGER",-1.17107360264973
"272","TEK",-1.16619389656772
"189","IL7R",-1.16016843166334
"82","CX3CL1",-1.12567504324594
"163","IL1R2",-1.11557519232061
"51","CD274",-1.02471542790681
"101","FASLG",-0.944434673582029
"118","GOT1",-0.916800108299326
"78","CST7",-0.875013565449769
"49","CD200R1",-0.850507353945817
"147","IL15",-0.78366648561778
"219","MUC16",-0.762291129289767
"248","REST",-0.723383658964391
"285","TNFRSF13C",-0.716442911656567
"39","CCL25",-0.713388228997305
"251","S100A9",-0.699953117652475
"296","TNFSF11",-0.698971671223411
"155","IL17RA",-0.67215115603594
"178","IL36B",-0.668599429907849
"194","KLK6",-0.651377063698099
"88","CXCL13",-0.646949792632613
"36","CCL22",-0.629116147211674
"152","IL17B",-0.62763428774794
"4","AGRN",-0.623980876023948
"66","CLEC4A",-0.615064341254083
"293","TNFRSF8",-0.612805348633596
"295","TNFSF10",-0.610477255242062
"140","IL10RB",-0.597054095822869
"275","THBS2",-0.595125045481791
"318","YWHAZ",-0.571160142634072
"21","BST2",-0.570525675749919
"40","CCL26",-0.535188825158993
"17","BACE1",-0.534223874003125
"256","SELE",-0.526782223785024
"159","IL18R1",-0.517826108621797
"203","LTA",-0.497978331830938
"205","MAPT",-0.4965723982533
"106","FGF23",-0.490518078366599
"71","CSF1",-0.48703381163303
"102","FCN2",-0.485646314522879
"94","CXCL6",-0.470143958863141
"235","PDCD1",-0.459434527126712
"164","IL1RL1",-0.459037747356081
"54","CD4",-0.456816120217325
"74","CSF2RB",-0.40475191976229
"69","CRH",-0.388056711783165
"89","CXCL14",-0.371421057238692
"30","CCL16",-0.36421919940618
"196","KNG1",-0.357482924970261
"224","NGF",-0.352145783851693
"240","PDLIM5",-0.350602533527653
"53","CD3E",-0.349393305891734
"120","GZMA",-0.349046584053004
"34","CCL20",-0.346543745412155
"288","TNFRSF18",-0.332156724556633
"270","TAFA5",-0.330422787349509
"158","IL18BP",-0.320165391829065
"61","CD83",-0.289013558475457
"10","APOE",-0.287806323241879
"207","MERTK",-0.284254311505274
"7","ANGPT2",-0.283529348219039
"62","CD93",-0.280805872794711
"151","IL17A|IL17F",-0.278553145623431
"116","GDNF",-0.276967150916326
"237","PDGFA",-0.271930488778002
"128","ICOSLG",-0.267526316084114
"168","IL22",-0.265082975519076
"175","IL33",-0.259311180839535
"246","PTN",-0.257675877119574
"32","CCL19",-0.24746359672923
"130","IFNA2",-0.241719041391348
"308","UCHL1",-0.239170971992107
"250","S100A12",-0.236052229079495
"75","CSF3",-0.233067708005308
"172","IL2RA",-0.232624528614344
"291","TNFRSF21",-0.232442134018511
"90","CXCL16",-0.223722384989553
"161","IL1B",-0.223510333919875
