"","name","coefficient"
"276","THPO",-2.64661456002427
"5","AGRP",-2.39676668391489
"195","KLRK1",-2.34047471090401
"20","BMP7",-2.1460815382293
"272","TEK",-1.70537537286009
"182","IL4R",-1.64158580289276
"255","SDC1",-1.63246349952779
"35","CCL21",-1.51275633599137
"58","CD63",-1.4414583450364
"227","NPTXR",-1.43887184707677
"163","IL1R2",-1.42451301878296
"314","VSNL1",-1.3848514205283
"82","CX3CL1",-1.34621068753598
"189","IL7R",-1.31793445134144
"3","AGER",-1.28299877841975
"205","MAPT",-1.16525579214336
"78","CST7",-1.06292079240061
"147","IL15",-1.0551918290308
"285","TNFRSF13C",-1.02845428659622
"248","REST",-1.02493054955643
"101","FASLG",-0.972325351194164
"219","MUC16",-0.958658433687679
"118","GOT1",-0.93905662574042
"194","KLK6",-0.932669060092135
"4","AGRN",-0.926545943810607
"293","TNFRSF8",-0.922945896345365
"295","TNFSF10",-0.917536093159352
"275","THBS2",-0.88567967247947
"39","CCL25",-0.878762300556245
"36","CCL22",-0.872802898265599
"88","CXCL13",-0.839437086006494
"17","BACE1",-0.832143691179905
"318","YWHAZ",-0.816157858963205
"51","CD274",-0.811625513953339
"251","S100A9",-0.766969221126126
"235","PDCD1",-0.760987628498958
"49","CD200R1",-0.735978867819192
"270","TAFA5",-0.724494332846064
"288","TNFRSF18",-0.718746127019097
"66","CLEC4A",-0.69948085207367
"159","IL18R1",-0.695194287840149
"178","IL36B",-0.687041158090239
"152","IL17B",-0.683915865250925
"164","IL1RL1",-0.656035298839708
"40","CCL26",-0.651299066214952
"21","BST2",-0.647514955703278
"296","TNFSF11",-0.645033882115701
"286","TNFRSF14",-0.644997425347852
"102","FCN2",-0.635557844725266
"140","IL10RB",-0.594947701439112
"175","IL33",-0.558157408846816
"291","TNFRSF21",-0.552175071473527
"237","PDGFA",-0.543539766026919
"128","ICOSLG",-0.533509862669865
"106","FGF23",-0.507071269318284
"155","IL17RA",-0.494867371639845
"268","SPP1",-0.473391853729778
"240","PDLIM5",-0.472927192802615
"74","CSF2RB",-0.465829936944186
"7","ANGPT2",-0.456279223256783
"256","SELE",-0.445119568526358
"30","CCL16",-0.439188883565204
"94","CXCL6",-0.433699209693966
"308","UCHL1",-0.42160297069254
"196","KNG1",-0.415467709802957
"267","SOD1",-0.411193658248456
"89","CXCL14",-0.409304226378796
"246","PTN",-0.40879411916647
"53","CD3E",-0.383149183913473
"310","VEGFA",-0.371424453626286
"203","LTA",-0.36071757959404
"207","MERTK",-0.354930498833371
"34","CCL20",-0.348836085273579
"290","TNFRSF1B",-0.346186504255222
"54","CD4",-0.322364980697569
"69","CRH",-0.319190090929056
"130","IFNA2",-0.303035267979997
"150","IL17A",-0.289273035243003
"245","PSEN1",-0.288664900588121
"120","GZMA",-0.286165202570069
"158","IL18BP",-0.284444692473151
"224","NGF",-0.284230225892448
"116","GDNF",-0.28026233964755
"262","SLIT2",-0.269987521515255
"209","MICB",-0.269552786968771
"168","IL22",-0.267694543401242
"269","SQSTM1",-0.262702342123923
"281","TNF",-0.259413236052916
"70","CRP",-0.251447250909424
"151","IL17A|IL17F",-0.24699828591627
"172","IL2RA",-0.242546700239914
"217","MPO",-0.241162801158936
"8","ANXA1",-0.236649269276474
"86","CXCL11",-0.23524913243222
"132","IFNG",-0.235248641563707
"250","S100A12",-0.232295211032283
"303","TNFSF8",-0.229307529527696
"75","CSF3",-0.221492207164503
"185","IL6",-0.220545726060713
"201","LIF",-0.216075056133105
"110","FOLR1",-0.209448204102144
"10","APOE",-0.203473942130791
"188","IL7",-0.199171071872808
"71","CSF1",-0.198799376710411
"174","IL32",-0.196578598374062
"171","IL27",-0.190229733026453
"161","IL1B",-0.171692245473408
"231","OSM",-0.169422040083706
"230","NTF3",-0.167373336322666
"99","EPO",-0.162752923551707
"32","CCL19",-0.160733028545712
"9","ANXA5",-0.159577621684341
"154","IL17F",-0.155147653030742
"142","IL12B",-0.154550474045381
"139","IL10",-0.151410362982731
"206","MDH1",-0.147911712614796
"170","IL24",-0.133294617246941
"311","VEGFC",-0.128550295319775
"56","CD40LG",-0.127824196332628
"181","IL4",-0.127609992348346
"280","TLR3",-0.123881855430006
"90","CXCL16",-0.121200905929746
"47","CCL8",-0.119850811567598
"238","PDGFB",-0.118063974327899
"254","SCG2",-0.101165073588667
"95","CXCL8",-0.0975439238520707
"229","NRGN",-0.0904942150925159
"62","CD93",-0.0849420212670542
"215","MMP8",-0.0834950520294
"153","IL17C",-0.0786171032938504
"31","CCL17",-0.0773873331194372
"91","CXCL2",-0.075173504637806
"24","CALCA",-0.0745744410551152
"247","PTX3",-0.0696485403905535
"264","SNAP25",-0.0695394417967634
"11","APOE4",-0.0650168098642648
"141","IL11",-0.0619610370055503
"186","IL6R",-0.0604945534842303
"266","SNCB",-0.0520725593919493
"129","IFNA1; IFNA13",-0.0508383989721208
"260","SIRPA",-0.0504543454024126
"131","IFNB1",-0.050092618379462
"76","CSF3R",-0.0490047072677577
"45","CCL5",-0.0482862191039751
"97","EGF",-0.0472122082362546
"294","TNFRSF9",-0.0422394737664368
"84","CXCL1",-0.0420634006312508
"87","CXCL12",-0.0390147448744289
"133","IFNL1",-0.0359528553838014
"176","IL34",-0.0325924780325646
"299","TNFSF14",-0.0273822136887056
"160","IL19",-0.0256834796562788
"72","CSF1R",-0.0193370064059452
"165","IL1RN",-0.0186483451488466
"242","PGK1",-0.0169130286045461
"249","RUVBL2",-0.0136165365060511
"61","CD83",-0.011397783887796
"233","Oligo-SNCA",-0.00530164338107939
"282","TNFRSF11A",-0.00376173507345701
"48","CD200",-0.00351523253573619
"313","VGF",-0.00276182499643684
"156","IL17RB",-1.94043669264658e-05
"258","SFRP1",0.01104492928709
"80","CTLA4",0.0182113468546832
"23","CALB2",0.020962619926398
"19","BDNF",0.0327538003873108
"271","TARDBP",0.034613563375816
"234","PARK7",0.0381612684685718
"169","IL23",0.0388258616233074
"14","Aβ38",0.0417105427635801
"134","IFNL2; IFNL3",0.0420395509243711
"136","IGF1R",0.0420540151288494
"261","SLAMF1",0.0443265998643886
"220","NAMPT",0.0466830532206673
"67","CNTF",0.0502133070844145
"208","MICA",0.0508093675035647
"15","Aβ40",0.0533847433916858
"322","pTau-217",0.0555022124530737
"277","TIMP1",0.0567030735929462
"81","CTSS",0.0610068096026288
"218","MSLN",0.0612489302866462
"113","GDF15",0.0664160557168677
"320","pTDP43-409",0.0673388370594623
"228","NPY",0.0775426634192865
"43","CCL3",0.0832767530856592
"92","CXCL3",0.0840893493415759
"79","CTF1",0.0846415985365086
"65","CHIT1",0.085965263905101
"274","TGFB3",0.0899828992253745
"123","HBA1",0.0912576310591055
"12","AREG",0.109399857450896
"265","SNCA",0.113997866565765
"124","HGF",0.126057908131995
"253","SAA1",0.126456389406065
"167","IL20",0.126504233891393
"173","IL2RB",0.126865033747282
"315","VSTM1",0.128612667665686
"204","LTA|LTB",0.12947919002099
"135","IFNW1",0.133285757398337
"179","IL36G",0.135675295902318
"323","pTau-231",0.140077662899476
"301","TNFSF18",0.144785122170276
"319","pSNCA-129",0.147952436524105
"283","TNFRSF11B",0.150151137672024
"210","MIF",0.161510445690178
"316","WNT16",0.166766082044352
"307","TSLP",0.167406719665615
"18","BASP1",0.168176183793632
"214","MMP3",0.173013075931388
"278","TIMP2",0.180430338025699
"211","MME",0.186683584460297
"121","GZMB",0.189664779228209
"83","CXADR",0.190304722122312
"292","TNFRSF4",0.1918093932714
"257","SELP",0.19272948557496
"191","IRAK4",0.205583403044883
"239","PDGFRB",0.214082484574428
"317","WNT7A",0.216023960137029
"138","IKBKG",0.218851029976728
"46","CCL7",0.221688927328989
"216","MMP9",0.229954080896309
"38","CCL24",0.248147548985501
"6","ANGPT1",0.254003252342944
"25","CCL1",0.254495304075917
"263","SMOC1",0.256991869748498
"297","TNFSF12",0.25963526582492
"183","IL5",0.264504247813936
"145","IL13",0.268729218613356
"222","NEFH",0.269935849660704
"98","ENO2",0.270464250730969
"13","ARSA",0.274160476939399
"244","PRDX6",0.276184535610154
"298","TNFSF13",0.282913637195283
"259","SFTPD",0.303564406019239
"212","MMP1",0.304559153775363
"273","TGFB1",0.304651738471948
"107","FLT1",0.30538921940231
"197","LAG3",0.312127966515773
"289","TNFRSF1A",0.314121082076972
"180","IL3RA",0.31829006779357
"93","CXCL5",0.31894059340977
"127","ICAM1",0.324975170555706
"279","TIMP3",0.325215028705271
"126","HTT",0.326992703453391
"59","CD70",0.335955896803344
"221","NCR1",0.337752776308011
"44","CCL4",0.34419145253278
"146","IL13RA2",0.356819930866477
